,год,ВСЕГО,ЖЕНЩИН,"Незанятые граждане,ищущие работу",РАБОТНИКОВ С/Х,РАБОЧИХ,СЛУЖАЩИХ,Трудоспос. население в трудоспос. Возрасте,освобождено от уг отв,привлечено к уголовной отв
Алейский,2015.0,444.0,72.0,167.0,0.0,74.0,2.0,7483.0,195.0,249.0
Алейский,2016.0,501.0,70.0,135.0,3.0,94.0,2.0,7163.0,177.0,324.0
Алейский,2017.0,476.0,87.0,143.0,3.0,88.0,4.0,6860.0,161.0,315.0
Алейский,2018.0,480.0,72.0,141.0,5.0,85.0,2.0,6347.0,162.0,318.0
Алейский,2019.0,459.0,89.0,155.0,4.0,62.0,7.0,6316.0,163.0,295.0
Баевский ,2015.0,127.0,9.0,181.0,3.0,11.0,0.0,4866.0,56.0,71.0
Баевский ,2016.0,127.0,12.0,197.0,4.0,13.0,0.0,4596.0,48.0,75.0
Баевский ,2017.0,94.0,15.0,182.0,1.0,8.0,3.0,4439.0,25.0,69.0
Баевский ,2018.0,96.0,9.0,193.0,0.0,16.0,0.0,4072.0,28.0,68.0
Баевский ,2019.0,109.0,15.0,243.0,0.0,6.0,2.0,4065.0,33.0,76.0
Благовещенский,2015.0,264.0,28.0,387.0,0.0,68.0,1.0,15867.0,108.0,156.0
Благовещенский,2016.0,287.0,30.0,405.0,0.0,74.0,1.0,15300.0,88.0,198.0
Благовещенский,2017.0,237.0,24.0,353.0,0.0,48.0,2.0,15037.0,69.0,167.0
Благовещенский,2018.0,258.0,13.0,293.0,0.0,68.0,1.0,14295.0,86.0,172.0
Благовещенский,2019.0,235.0,14.0,406.0,0.0,49.0,1.0,14444.0,78.0,157.0
Бурлинский,2015.0,835.0,123.0,301.0,20.0,156.0,10.0,5620.0,427.0,408.0
Бурлинский,2016.0,151.0,19.0,266.0,18.0,41.0,1.0,5397.0,81.0,70.0
Бурлинский,2017.0,148.0,16.0,257.0,9.0,35.0,0.0,5207.0,75.0,70.0
Бурлинский,2018.0,770.0,121.0,236.0,14.0,123.0,3.0,4903.0,352.0,413.0
Бурлинский,2019.0,124.0,14.0,276.0,13.0,31.0,2.0,4945.0,60.0,64.0
Быстроистокский,2015.0,121.0,11.0,190.0,1.0,10.0,3.0,4437.0,52.0,69.0
Быстроистокский,2016.0,112.0,19.0,189.0,0.0,13.0,1.0,4238.0,38.0,74.0
Быстроистокский,2017.0,92.0,7.0,190.0,0.0,8.0,1.0,4134.0,31.0,61.0
Быстроистокский,2018.0,105.0,16.0,170.0,2.0,12.0,1.0,3795.0,26.0,79.0
Быстроистокский,2019.0,84.0,13.0,173.0,0.0,13.0,0.0,3874.0,30.0,54.0
Егорьевский,2015.0,198.0,29.0,261.0,0.0,27.0,0.0,7065.0,88.0,110.0
Егорьевский,2016.0,181.0,21.0,242.0,0.0,22.0,0.0,6850.0,80.0,101.0
Егорьевский,2017.0,128.0,13.0,245.0,0.0,11.0,0.0,6679.0,29.0,98.0
Егорьевский,2018.0,133.0,11.0,249.0,0.0,15.0,0.0,6284.0,48.0,85.0
Егорьевский,2019.0,184.0,21.0,248.0,0.0,19.0,0.0,6246.0,70.0,114.0
Ельцовский,2015.0,93.0,11.0,92.0,0.0,12.0,1.0,3055.0,37.0,56.0
Ельцовский,2016.0,81.0,11.0,97.0,0.0,13.0,2.0,2934.0,30.0,48.0
Ельцовский,2017.0,155.0,25.0,96.0,0.0,43.0,0.0,2874.0,53.0,102.0
Ельцовский,2018.0,81.0,10.0,74.0,1.0,13.0,1.0,2740.0,32.0,49.0
Ельцовский,2019.0,80.0,7.0,118.0,0.0,7.0,2.0,2748.0,31.0,49.0
Завьяловский ,2015.0,250.0,42.0,271.0,1.0,48.0,0.0,9494.0,123.0,127.0
Завьяловский ,2016.0,233.0,35.0,217.0,5.0,52.0,0.0,9246.0,71.0,162.0
Завьяловский ,2017.0,169.0,12.0,159.0,1.0,25.0,0.0,9063.0,57.0,112.0
Завьяловский ,2018.0,176.0,22.0,155.0,2.0,33.0,0.0,8362.0,60.0,116.0
Завьяловский ,2019.0,178.0,19.0,253.0,0.0,30.0,0.0,8469.0,52.0,126.0
Залесовский,2015.0,154.0,25.0,299.0,0.0,12.0,3.0,7407.0,72.0,82.0
Залесовский,2016.0,204.0,27.0,286.0,0.0,33.0,2.0,7166.0,81.0,123.0
Залесовский,2017.0,196.0,23.0,238.0,0.0,32.0,3.0,7042.0,70.0,126.0
Залесовский,2018.0,174.0,26.0,230.0,0.0,24.0,0.0,6759.0,51.0,123.0
Залесовский,2019.0,167.0,21.0,297.0,0.0,37.0,5.0,6773.0,59.0,108.0
Заринский,2015.0,199.0,19.0,242.0,0.0,53.0,0.0,10079.0,89.0,110.0
Заринский,2016.0,236.0,22.0,221.0,0.0,41.0,0.0,9750.0,95.0,141.0
Заринский,2017.0,219.0,18.0,186.0,2.0,57.0,1.0,9333.0,75.0,144.0
Заринский,2018.0,183.0,16.0,207.0,1.0,45.0,1.0,8720.0,76.0,107.0
Заринский,2019.0,183.0,18.0,331.0,1.0,38.0,1.0,8670.0,59.0,124.0
Змеиногорский,2015.0,240.0,36.0,299.0,2.0,52.0,0.0,10423.0,115.0,125.0
Змеиногорский,2016.0,210.0,31.0,295.0,0.0,36.0,0.0,10034.0,93.0,112.0
Змеиногорский,2017.0,202.0,23.0,280.0,0.0,36.0,0.0,9820.0,78.0,124.0
Змеиногорский,2018.0,215.0,22.0,273.0,1.0,31.0,0.0,9162.0,96.0,118.0
Змеиногорский,2019.0,185.0,21.0,367.0,0.0,39.0,0.0,9211.0,63.0,122.0
Калманский,2015.0,140.0,28.0,156.0,0.0,33.0,2.0,7165.0,62.0,78.0
Калманский,2016.0,153.0,20.0,130.0,0.0,26.0,1.0,6889.0,51.0,102.0
Калманский,2017.0,151.0,17.0,110.0,0.0,26.0,4.0,6628.0,42.0,109.0
Калманский,2018.0,170.0,17.0,115.0,1.0,32.0,1.0,6151.0,58.0,112.0
Калманский,2019.0,175.0,25.0,161.0,1.0,31.0,4.0,6204.0,62.0,112.0
Каменский,2015.0,452.0,55.0,514.0,1.0,67.0,5.0,29138.0,215.0,237.0
Каменский,2016.0,482.0,64.0,456.0,0.0,55.0,2.0,28853.0,163.0,299.0
Каменский,2017.0,381.0,54.0,470.0,0.0,46.0,2.0,27987.0,102.0,278.0
Каменский,2018.0,357.0,53.0,442.0,0.0,56.0,3.0,26771.0,119.0,236.0
Каменский,2019.0,350.0,44.0,399.0,0.0,50.0,1.0,27121.0,100.0,249.0
Ключевский,2015.0,187.0,16.0,306.0,1.0,25.0,1.0,9238.0,83.0,104.0
Ключевский,2016.0,210.0,19.0,307.0,0.0,29.0,0.0,8970.0,95.0,114.0
Ключевский,2017.0,191.0,21.0,388.0,0.0,18.0,0.0,8731.0,82.0,108.0
Ключевский,2018.0,175.0,21.0,377.0,1.0,29.0,0.0,8151.0,62.0,113.0
Ключевский,2019.0,176.0,20.0,406.0,0.0,17.0,0.0,8225.0,65.0,111.0
Косихинский,2015.0,165.0,25.0,311.0,0.0,16.0,0.0,8434.0,64.0,101.0
Косихинский,2016.0,352.0,45.0,338.0,0.0,45.0,2.0,8126.0,125.0,217.0
Косихинский,2017.0,310.0,51.0,276.0,0.0,31.0,1.0,7914.0,116.0,194.0
Косихинский,2018.0,277.0,45.0,270.0,0.0,34.0,3.0,7381.0,93.0,184.0
Косихинский,2019.0,223.0,42.0,249.0,1.0,36.0,1.0,7437.0,87.0,136.0
Крутихинский,2015.0,139.0,22.0,337.0,0.0,12.0,0.0,5388.0,83.0,56.0
Крутихинский,2016.0,122.0,15.0,359.0,0.0,12.0,0.0,5263.0,53.0,62.0
Крутихинский,2017.0,94.0,7.0,276.0,0.0,16.0,0.0,5181.0,38.0,56.0
Крутихинский,2018.0,87.0,9.0,256.0,0.0,17.0,0.0,4993.0,42.0,45.0
Крутихинский,2019.0,72.0,11.0,291.0,0.0,11.0,0.0,5091.0,40.0,31.0
Кулундинский,2015.0,228.0,37.0,344.0,1.0,43.0,0.0,12139.0,100.0,128.0
Кулундинский,2016.0,276.0,38.0,339.0,1.0,33.0,3.0,11878.0,103.0,172.0
Кулундинский,2017.0,239.0,27.0,299.0,0.0,40.0,0.0,11700.0,66.0,173.0
Кулундинский,2018.0,234.0,27.0,290.0,1.0,43.0,0.0,11307.0,80.0,152.0
Кулундинский,2019.0,261.0,46.0,416.0,1.0,49.0,2.0,11458.0,96.0,163.0
Кытмановский,2015.0,173.0,23.0,228.0,1.0,33.0,2.0,6441.0,76.0,97.0
Кытмановский,2016.0,175.0,19.0,230.0,3.0,34.0,0.0,6265.0,57.0,118.0
Кытмановский,2017.0,74.0,6.0,197.0,0.0,12.0,0.0,6102.0,23.0,51.0
Кытмановский,2018.0,164.0,19.0,203.0,0.0,40.0,0.0,5726.0,54.0,110.0
Кытмановский,2019.0,144.0,18.0,200.0,0.0,32.0,1.0,5666.0,47.0,97.0
