County,Data,Date
Aleysky,1,2020
Altaysky,3,2020
Baevsky,1,2020
Barnaul,201,2020
Bistroistokinsky,0,2020
Biysk,97,2020
Biysky,12,2020
Blagoveshensky,1,2020
Burlinsky,0,2020
Charyshsky,0,2020
Eltsovsky,1,2020
Kalmansky,1,2020
Kamensky,0,2020
Khabarsky,0,2020
Klyuchevsky,0,2020
Kosikhinsky,6,2020
Krasnogorsky,4,2020
Krutikhinsky,0,2020
Kulundinsky,1,2020
Kuryinsky,0,2020
Kytmanovsky,3,2020
Loktevsky,0,2020
Mamontovsky,0,2020
Mikhaelovsky,5,2020
Nemetsky,4,2020
Novichikhinsky,0,2020
Novoegorievsky,3,2020
Pankrushihinsky,0,2020
Pavlovsky,15,2020
Pervomaysky,30,2020
Petropavlovsky,0,2020
Pospelikhinsky,0,2020
Rebrikhinsky,3,2020
Rodinsky,1,2020
Romanovsky,0,2020
Rubtsovsky,10,2020
Shelabolikhinsky,1,2020
Shipunovsky,0,2020
Slavgorod,18,2020
Smolensky,3,2020
Soloneshensky,0,2020
Soltonsky,0,2020
Sovetsky,1,2020
Suetsky,0,2020
Tabunsky,4,2020
Talmensky,15,2020
Togulsky,1,2020
Topchikhinsky,6,2020
Tretyakovsky,2,2020
Troitsky,6,2020
Tselinny,1,2020
Tyumentsevsky,0,2020
Uglovsky,0,2020
Ust-Kalmansky,0,2020
Ust-Pristansky,2,2020
Volchihinsky,3,2020
Zalesovsky,1,2020
Zarinsky,2,2020
Zavyalovsky,0,2020
Zmeinogorsky,2,2020
Zonalny,2,2020
