"","8.2.  ЧИСЛО БОЛЬНИЧНЫХ КОЕК ПО СПЕЦИАЛИЗАЦИИ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего","",""
"Число больничных коек","24028","23195","22929","22248","21473"
"в том числе:","","","","",""
"терапевтического профиля","5765","5273","5117","5023","4998"
"хирургического профиля","4674","4545","4493","4458","4414"
"онкологических","764","814","789","789","789"
"гинекологических","1135","1059","1057","1005","981"
"туберкулезных","2044","2020","2190","1899","1527"
"инфекционных","1198","1197","1189","1177","1200"
"офтальмологических","549","514","515","515","382"
"отоларингологических","312","277","280","275","262"
"дерматовенерологических","294","275","265","170","195"
"психиатрических","1610","1550","1465","1490","1441"
"наркологических","400","382","420","420","299"
"неврологических","1386","1376","1372","1367","1400"
"беременных, рожениц и родильниц","1585","1493","1462","1233","1211"
"прочих коек","2312","2420","2315","2427","2374"
"","","На 10 000  человек населения1)","","",""
"Число больничных коек","100,8","97,6","96,9","94,7","92,0"
"в том числе:","","","","",""
"терапевтического профиля","24,2","22,2","21,6","21,4","21,4"
"хирургического профиля","19,6","19,1","19,0","19,0","18,9"
"онкологических","3,2","3,4","3,3","3,4","3,4"
"гинекологических","8,8","8,3","8,3","7,9","7,8"
