"","","","","","Продолжение 8.2"
"","2014","2015","2016","2017","2018"
"туберкулезных","8,6","8,5","9,3","8,1","6,5"
"инфекционных","5,0","5,0","5,0","5,0","5,1"
"офтальмологических","2,3","2,2","2,2","2,2","1,6"
"отоларингологических","1,3","1,2","1,2","1,2","1,1"
"дерматовенерологических","1,2","1,2","1,1","0,7","0,8"
"психиатрических","6,8","6,5","6,2","6,3","6,2"
"наркологических","1,7","1,6","1,8","1,8","1,3"
"неврологических","5,8","5,8","5,8","5,8","6,0"
"беременных, рожениц и родильниц","28,3","27,0","26,8","22,8","22,7"
"прочих коек","9,7","10,2","9,8","10,3","10,2"
