"","8.4. ЧИСЛЕННОСТЬ ВРАЧЕЙ ПО ОТДЕЛЬНЫМ СПЕЦИАЛЬНОСТЯМ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего,  человек","",""
"Численность врачей","10705","10201","10198","10173","9957"
"из них:","","","","",""
"терапевтического профиля","2750","2570","2621","2652","2628"
"хирургического профиля","1024","974","1030","1029","1004"
"акушеров-гинекологов","692","652","657","647","627"
"педиатров","1015","1003","880","885","868"
"офтальмологов","230","213","218","224","217"
"отоларингологов","165","155","164","163","162"
"неврологов","479","477","465","460","446"
"психиатров и наркологов","423","367","382","367","338"
"фтизиатров","171","156","147","142","134"
"дерматовенерологов","124","125","118","111","117"
"рентгенологов и радиологов","327","305","312","329","320"
"врачей по лечебной физкультуре и спорту","69","63","55","63","50"
"стоматологов","675","646","667","664","699"
"","","На 10 000 человек населения1)","","",""
"Численность врачей","44,9","42,9","43,1","43,3","42,7"
"из них:","","","","",""
"терапевтического профиля","11,5","10,8","11,1","11,3","11,3"
"хирургического профиля","4,3","4,1","4,4","4,4","4,3"
"акушеров-гинекологов","5,4","5,1","5,2","5,1","5,0"
