"","","","","Продолжение табл. 8.4",""
"","2014","2015","2016","2017","2018"
"педиатров","24,5","20,6","20,7","20,9","20,7"
"офтальмологов","1,0","0,9","0,9","1,0","0,9"
"отоларингологов","0,7","0,7","0,7","0,7","0,7"
"неврологов","2,0","2,0","2,0","2,0","1,9"
"психиатров и наркологов","1,8","1,5","1,6","1,6","1,4"
"фтизиатров","0,7","0,7","0,6","0,6","0,6"
"дерматовенерологов","0,5","0,5","0,5","0,5","0,5"
"рентгенологов и радиологов","1,4","1,3","1,3","1,4","1,4"
"врачей по лечебной физкультуре и спорту","0,3","0,3","0,2","0,3","0,2"
"стоматологов","2,8","2,7","2,8","2,8","3,0"
