"","8.5. ЧИСЛЕННОСТЬ СРЕДНЕГО МЕДИЦИНСКОГО ПЕРСОНАЛА","","","",""
"","ПО ОТДЕЛЬНЫМ СПЕЦИАЛЬНОСТЯМ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего, человек","",""
"Численность среднего медицинского персонала –","","","","",""
"всего","26305","26784","26390","25780","24561"
"из них:","","","","",""
"фельдшеры","2765","2231","2270","2264","2279"
"акушерки","1516","1500","1449","1415","1389"
"медицинские сестры","18375","17538","17269","16750","15868"
"лаборанты, медицинские лабораторные техники","246","248","242","245","196"
"рентгенолаборанты","552","578","569","552","568"
"зубные врачи","705","413","407","381","360"
"","","На 10 000 человек населения","","",""
"Численность среднего медицинского персонала –","","","","",""
"всего","110,3","112,7","111,6","109,7","105,3"
"из них:","","","","",""
"фельдшеры","11,6","9,4","9,6","9,6","9,8"
"акушерки","10,9","9,8","9,8","10,3","11,0"
"медицинские сестры","77,1","73,8","73,0","71,3","68,0"
"лаборанты, медицинские лабораторные техники","1,0","1,0","1,0","1,0","0,8"
"рентгенолаборанты","2,3","2,4","2,4","2,3","2,4"
"зубные врачи","3,0","1,7","1,7","1,6","1,5"
"","8.6. ОБСЛУЖИВАНИЕ НАСЕЛЕНИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩЬЮ1)","","","",""
"","2014","2015","2016","2017","2018"
"Число станций (отделений) скорой медицинской","","","","",""
"помощи","66","62","61","56","56"
"Численность  лиц,  которым оказана  помощь  амбу-","","","","",""
"латорно","","","","",""
"и при выездах, человек:","","","","",""
"всего, тыс.","853,4","838,1","818,5","780,9","766,5"
"на 1000 человек населения","357,9","352,6","346,0","332,3","328,6"
