"","8.7. МЕДИЦИНСКАЯ ПОМОЩЬ ЖЕНЩИНАМ И ДЕТЯМ","","","",""
"","2014","2015","2016","2017","2018"
"Число коек для беременных, рожениц и родильниц","1585","1493","1462","1233","1211"
"Число коек для больных детей","","","","",""
"всего","3711","3332","3214","3350","3175"
"на 10 000 детей","89,6","79,3","75,7","79,0","75,6"
"Число женских консультаций, детских поликлиник,","","","","",""
"амбулаторий,  детских  отделений  (кабинетов),  аку-","","","","",""
"шерско-гинекологических 
отделений 
(кабинетов)","","","","",""
"(самостоятельных  и  входящих  в  состав  других  уч-","","","","",""
"реждений)","379","392","419","410","677"
"Число фельдшерско-акушерских пунктов","896","881","879","878","837"
