"","8.8. ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ (аборты)1)","","","",""
"","2014","2015","2016","2017","2018"
"Число абортов","","","","",""
"всего","14791","13444","13624","12309","10596"
"на 1000 женщин (15-49 лет)","26,5","24,2","25,0","22,7","19,8"
"на 100 родов","47","45","48","49","46"
"1) По данным системы Министерства здравоохранения Алтайского края и медицинских подразделений других мини-","","","","",""
"стерств и ведомств.","","","","",""
"","8.9. ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ (аборты) ПО ВОЗРАСТНЫМ ГРУППАМ ЖЕНЩИН","","","",""
"","2014","2015","2016","2017","2018"
"Всего абортов","14791","13444","13624","12309","10596"
"в том числе у женщин в возрасте, лет","","","","",""
"0-14","","","4","6","10"
"15-17","","","155","139","137"
"18-44","","","13373","12095","10375"
"45-49","","","89","68","74"
"50 и старше","","","1","1","-"
"до 15","5","5","…","…","…"
"15-19","664","620","…","…","…"
"20-34","10627","9477","…","…","…"
"35 лет и старше","3495","3342","…","…","…"
"Число абортов на 1000 женщин в возрасте, лет:","","","","",""
"0-14","","","0,11)","0,11)","0,2"
"15-17","","","4,7","4,1","3,8"
"18-44","","","30,1","28,2","24,7"
"45-49","","","1,2","0,9","0,9"
"50 и старше","","","0,12)","0,12)","-"
"до 15","0,0","0,0","…","…","…"
"15-19","10,4","11,9","…","…","…"
"20-34","40,2","37,2","…","…","…"
"35 лет и старше","14,2","13,4","…","…","…"
"Число абортов у первобеременных3)","1281","1249","1156","1068","827"
