"","8.11. ЗАБОЛЕВАЕМОСТЬ НАСЕЛЕНИЯ ПО ОСНОВНЫМ КЛАССАМ БОЛЕЗНЕЙ","","","",""
"","(зарегистрировано больных с диагнозом, установленным впервые в жизни)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего, тыс. человек","",""
"Все болезни","2862,2","2867,7","2968,0","2830,1","2857,7"
"из них:","","","","",""
"инфекционные и паразитарные болезни","80,4","79,0","80,2","75,6","74,8"
"новообразования","57,2","57,8","68,5","68,2","66,8"
"болезни эндокринной системы, расстройства","","","","",""
"питания, нарушения обмена веществ и имму-","","","","",""
"нитета","77,4","82,8","124,0","109,9","100,2"
"болезни крови и кроветворных органов","19,5","18,0","18,7","18,2","16,7"
"болезни нервной системы и органов чувств","316,9","294,0","296,4","289,4","275,7"
"болезни системы кровообращения","136,8","132,3","151,2","142,2","151,2"
"болезни органов дыхания","898,3","928,7","996,2","1003,6","1042,6"
"болезни органов пищеварения","217,7","227,4","229,1","171,4","167,0"
"болезни мочеполовой системы","350,4","339,1","337,7","317,0","325,2"
"осложнения беременности, родов и послеро-","","","","",""
"дового периода","86,3","81,3","79,8","69,2","65,2"
"болезни кожи и подкожной клетчатки","154,3","153,6","148,4","145,2","142,3"
"болезни костно-мышечной системы и соеди-","","","","",""
"нительной ткани","172,6","167,9","158,7","151,3","155,5"
"врожденные аномалии (пороки развития)","4,4","4,9","5,0","5,3","4,6"
"травмы и отравления и некоторые другие по-","","","","",""
"следствия воздействия внешних причин","231,7","245,8","223,6","219,2","221,9"
"","","","На 1000 человек населения","",""
"Все болезни","1198,7","1204,5","1251,5","1193,5","1220,5"
"из них:","","","","",""
"инфекционные и паразитарные болезни","33,7","33,2","33,8","31,9","31,9"
"новообразования","24,0","24,3","28,9","28,8","28,5"
"болезни эндокринной системы, расстройства","","","","",""
"питания, нарушения обмена веществ и имму-","","","","",""
"нитета","32,4","34,8","52,3","46,3","42,8"
"болезни крови и кроветворных органов","8,2","7,6","7,9","7,7","7,1"
"болезни нервной системы и органов чувств","132,7","123,5","125,0","122,0","117,8"
"болезни системы кровообращения","57,3","55,6","63,8","60,0","64,6"
