"","8.12. ЗАБОЛЕВАЕМОСТЬ НАСЕЛЕНИЯ ОТДЕЛЬНЫМИ","","","",""
"","ИНФЕКЦИОННЫМИ И ПАРАЗИТАРНЫМИ БОЛЕЗНЯМИ","","","",""
"","(число зарегистрированных случаев заболевания)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего, тыс. случаев","",""
"Кишечные инфекции","","","","",""
"Сальмонеллезные инфекции","720","467","356","405","363"
"Брюшной тиф и паратифы А, В, С","-","-","-","-","-"
"Острые кишечные инфекции1)","10086","11045","9807","10955","9618"
"в том числе бактериальная дизентерия","92","75","43","27","34"
"Вирусные гепатиты","","","","",""
"Вирусные гепатиты","286","201","181","172","134"
"в том числе:","","","","",""
"острый гепатит А","134","63","58","92","60"
"острый гепатит В","55","37","34","29","19"
"острый гепатит С","50","48","52","34","43"
"Воздушно-капельные инфекции","","","","",""
"Дифтерия","-","-","-","-","-"
"Коклюш","117","26","43","38","58"
"Корь","-","102","-","1","8"
"Краснуха","-","-","-","-","-"
"Паротит эпидемический","3","-","1","5","1"
"Ветряная оспа","13662","12170","11639","12672","13648"
"Менингококковые инфекции","12","8","9","11","12"
"Острые инфекции верхних дыхательных путей","635001","668960","712078","702162","723224"
"Грипп","93","109","356","55","162"
"Природно-очаговые и","","","","",""
"зооантропонозные инфекции","","","","",""
"Туляремия","-","-","-","-","-"
"Клещевой весенне-летний энцефалит","33","49","33","32","22"
"Клещевой боррелиоз","31","35","45","37","33"
"Педикулез","1163","1438","1062","1275","1621"
"Паразитарные болезни","","","","",""
"","1661","1416","1223","1488","1149"
"Лямблиоз","","","","",""
"Аскаридоз","1258","1063","931","909","911"
"Трихоцефалез","7","2","6","9","-"
"Энтеробиоз","5037","5034","5128","4986","4436"
