"","","","","","Продолжение табл. 8.12"
"","2014","2015","2016","2017","2018"
"Дифиллоботриоз","4","7","5","4","5"
"Опистархоз","1091","791","959","818","869"
"","","","На 100 000 человек населения","",""
"Кишечные инфекции","","","","",""
"Сальмонеллезные инфекции","30,2","19,6","15,1","17,2","15,5"
"Брюшной тиф и паратифы А, В, С","-","-","-","-","-"
"Острые кишечные инфекции1)","422,4","463,9","413,6","464,6","410,8"
"в том числе бактериальная дизентерия","3,9","3,2","1,8","1,1","1,5"
"Вирусные гепатиты","","","","",""
"Вирусные гепатиты","12,0","8,4","7,6","7,3","5,7"
"в том числе:","","","","",""
"острый гепатит А","5,6","2,6","2,4","3,9","2,6"
"острый гепатит В","2,3","1,6","1,4","1,2","0,8"
"острый гепатит С","2,1","2,0","2,2","1,4","1,8"
"Воздушно-капельные инфекции","","","","",""
"Дифтерия","-","-","-","-","0,0"
"Коклюш","4,9","1,1","1,8","1,6","2,5"
"Корь","-","4,3","-","0,04","0,3"
"Краснуха","-","-","-","-","-"
"Паротит эпидемический","0,1","-","0,04","0,2","0,0"
"Ветряная оспа","572,2","511,2","490,8","537,4","582,9"
"Менингококковые инфекции","0,5","0,3","0,4","0,5","0,5"
"Острые инфекции верхних дыхательных путей","26594,4","28098,2","30030,0","29779,4","30887,9"
"Грипп","3,9","4,6","15,0","2,3","6,9"
"Природно-очаговые и зооантропонозные","","","","",""
"инфекции","","","","",""
"Туляремия","-","-","-","-","-"
"Клещевой весенне-летний энцефалит","1,4","2,1","1,4","1,4","0,9"
"Клещевой боррелиоз","1,3","1,5","1,9","1,6","1,4"
"Педикулез","48,7","60,4","44,8","54,1","69,2"
"Лямблиоз","69,6","59,5","51,6","63,1","49,1"
"Аскаридоз","52,7","44,6","39,3","38,6","38,9"
"Трихоцефалез","0,3","0,1","0,3","0,4","-"
"Энтеробиоз","211,0","211,4","216,3","211,5","189,5"
"Дифиллоботриоз","0,2","0,3","0,2","0,2","0,2"
"Опистархоз","45,7","33,2","40,4","34,7","37,1"
