"","8.15. ЗАБОЛЕВАЕМОСТЬ НАСЕЛЕНИЯ ЗЛОКАЧЕСТВЕННЫМИ","","","","","","","","",""
"","НОВООБРАЗОВАНИЯМИ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ1)","","","","","","","","",""
"","","","Всего, человек","","","","На 100 000 человек населения","","",""
"","2014","2015","2016","2017","2018","2014","2015","2016","2017","2018"
"Выявлено больных с впер-","","","","","","","","","",""
"вые в жизни установлен-","","","","","","","","","",""
"ным диагнозом","","","","","","","","","",""
"мужчины","5606","5846","5739","5884","6054","508,2","531,5","523,9","540,3","559,8"
"женщины","5885","6261","5990","6344","6412","458,1","488,8","469,5","500,0","508,9"
"из них в возрасте, лет:","","","","","","","","","",""
"0-14","","","","","","","","","",""
"мужчины","25","32","29","28","33","11,9","15,0","13,4","12,9","15,3"
"женщины","30","28","20","28","34","15,0","13,8","9,7","13,5","16,5"
"15-19","","","","","","","","","",""
"мужчины","12","11","14","13","11","18,1","20,3","25,8","23,5","19,2"
"женщины","16","11","11","14","6","25,1","21,1","20,9","26,0","10,8"
"20-34","","","","","","","","","",""
"мужчины","100","98","75","92","87","38,0","38,4","30,5","39,0","38,7"
"женщины","178","214","205","191","182","67,4","83,9","83,8","81,9","82,2"
"35-64","","","","","","","","","",""
"мужчины","2740","2892","2808","2741","2836","582,4","617,9","603,1","591,1","613,1"
"женщины","2825","3019","2895","2974","2926","512,6","550,8","531,2","548,6","542,4"
"65 и старше","","","","","","","","","",""
"мужчины","2729","2851","2813","3010","","3087  2610,7  2623,4  2492,4  2578,0  2561,1","","","",""
"женщины","2836","3024","2859","3137","","3264  1307,0  1360,4  1255,2  1347,1  1372,6","","","",""
