"","8.16. ЗАБОЛЕВАЕМОСТЬ АКТИВНЫМ ТУБЕРКУЛЕЗОМ1)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с диагнозом","","","","",""
"активного туберкулеза, установ-","","","","",""
"ленного впервые в жизни:","","","","",""
"всего, человек","2551","2554","2375","2129","2053"
"на 100 000 человек населения","106,8","107,3","100,2","90,3","87,7"
"в том числе:","","","","",""
"из них с диагнозом туберкулеза","","","","",""
"органов дыхания:","","","","",""
"всего, человек","2081","2488","2309","1840","1980"
"на 100 000 человек населения","87,2","104,5","97,4","78,0","84,6"
"Численность больных, состоящих","","","","",""
"на учете в лечебно-профилактичес-","","","","",""
"ких учреждениях (на конец года)","","","","",""
"всего, человек","6822","6400","6789","6034","5957"
"на 100 000 человек населения","286,1","269,3","287,0","255,9","254,4"
