"","8.17. ЗАБОЛЕВАЕМОСТЬ АКТИВНЫМ ТУБЕРКУЛЕЗОМ","","","","","","","","",""
"","","ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ1)","","","","","","","",""
"","","","Всего, человек","","","","На 100 000 человек населения","","",""
"","2014","2015","2016","2017","2018","2014","2015","2016","2017","2018"
"Выявлено больных с ди-","","","","","","","","","",""
"агнозом, установленным","","","","","","","","","",""
"впервые в жизни","","","","","","","","","",""
"мужчины","1771","1782","1615","1472","1407","160,6","162,0","147,4","135,2","130,1"
"женщины","780","772","760","657","646","60,7","60,3","59,6","51,8","51,3"
"из них в возрасте, лет:","","","","","","","","","",""
"0-14","","","","","","","","","",""
"мужчины","46","55","66","58","42","21,9","25,7","30,5","26,7","19,4"
"женщины","57","62","53","54","53","28,6","30,5","25,7","26,1","25,8"
"15-19","","","","","","","","","",""
"мужчины","18","15","13","11","9","54,9","45,3","38,4","31,4","24,6"
"женщины","12","10","9","10","8","38,1","31,2","27,5","29,9","23,0"
"20-34","","","","","","","","","",""
"мужчины","670","608","500","397","391","234,9","220,1","187,6","154,9","159,2"
"женщины","348","275","272","230","207","121,9","100,0","102,8","90,7","85,5"
"35-64","","","","","","","","","",""
"мужчины","974","1011","944","924","897","207,0","216,0","202,8","199,3","193,9"
"женщины","322","373","365","324","336","63,1","68,0","67,0","59,8","62,3"
"65 и старше","","","","","","","","","",""
"мужчины","63","93","92","82","68","60,3","85,6","81,5","70,2","56,4"
"женщины","41","52","61","39","42","18,9","23,4","26,8","16,7","17,7"
