"","","","Всего, человек","","","","На 100 000 человек населения","","",""
"","2014","2015","2016","2017","","2014","2015","2016","2017","2018"
"18-29","","","","","","","","","",""
"мужчины","264","190","166","150","140","138,9","105,2","97,1","93,0","91,8"
"женщины","67","60","39","37","30","35,6","33,7","23,2","23,3","20,1"
"30-39","","","","","","","","","",""
"мужчины","67","52","46","60","45","37,1","28,7","25,4","33,0","24,7"
"женщины","17","14","10","12","10","9,0","7,4","5,3","6,4","5,4"
"40 и старше","","","","","","","","","",""
"мужчины","21","16","17","13","11","4,3","3,3","3,5","2,6","2,2"
"женщины","10","14","3","11","7","1,5","1,7","0,4","1,6","1,0"
