"","8.20. ЗАБОЛЕВАЕМОСТЬ ПСИХИЧЕСКИМИ РАССТРОЙСТВАМИ","","","",""
"","И РАССТРОЙСТВАМИ ПОВЕДЕНИЯ1)","","","",""
"","2014","2015","2016","2017","2018"
"Взято под наблюдение больных с впервые в жизни","","","","",""
"установленным диагнозом","","","","",""
"всего,  человек","1192","1145","927","689","670"
"на 100 000 человек населения","49,9","48,1","39,1","29,2","28,6"
"Обратилось больных за консультативно-лечебной","","","","",""
"помощью","","","","",""
"всего, человек","34492","35633","32503","31601","33292"
"на 100 000 человек населения","1444,6","1496,7","1370,7","1340,2","1421,9"
"Численность  больных, состоящих на учете в ле-","","","","",""
"чебно-профилактических учреждениях","","","","",""
"всего, человек","21431","21274","19724","18606","17968"
"на 100 000 человек населения","898,6","895,1","833,8","789,1","767,4"
"Численность больных, которым оказывается кон-","","","","",""
"сультативно-лечебная помощь","","","","",""
"всего, человек","102947","106695","97323","87073","80729"
"на 100 000 человек населения","4311,5","4481,5","4104,3","3692,9","3447,8"
