"","8.23. ЗАБОЛЕВАЕМОСТЬ ДЕТЕЙ в возрасте 0-14 лет","","","",""
"","И ПОДРОСТКОВ в возрасте 15-17 лет ТОКСИКОМАНИЕЙ1)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с диагнозом, уста-","","","","",""
"новленным впервые в жизни","","","","",""
"всего, человек","7","2","-","4","3"
"дети","4","2","-","2","-"
"подростки","3","-","-","2","3"
"на 100 000 человек населения соответ-","","","","",""
"ствующего","","","","",""
"возраста","","","","",""
"дети","0,1","0,0","-","0,0","-"
"подростки","0,5","-","-","0,3","0,4"
"Численность больных, состоящих на","","","","",""
"учете в лечебно-профилактических уч-","","","","",""
"реждениях (на конец года)","","","","",""
"всего, человек","16","13","7","6","7"
"дети","3","6","-","2","2"
"подростки","13","7","7","4","5"
"на 10 000 человек населения соответст-","","","","",""
"вующего","","","","",""
"возраста","","","","",""
"дети","0,1","0,1","-","0,0","0,0"
"подростки","2,0","1,1","1,1","0,6","0,7"
"Кроме того, численность больных, со-","","","","",""
"стоящих на профилактическом учете в","","","","",""
"связи с употреблением ненаркотических","","","","",""
"веществ с вредными последствиями","","","","",""
"всего, человек","183","177","124","82","68"
"дети","66","54","34","29","37"
"подростки","117","123","90","53","31"
"на 10 000 человек населения соответст-","","","","",""
"вующего","","","","",""
"возраста","","","","",""
"дети","1,6","1,3","0,8","0,7","0,9"
"подростки","18,2","18,9","13,5","7,7","4,3"
