"","8.25. СОСТОЯНИЕ ЗДОРОВЬЯ БЕРЕМЕННЫХ, РОЖЕНИЦ, РОДИЛЬНИЦ1)","","","",""
"","2014","2015","2016","2017","2018"
"Численность женщин, закончивших","","","","",""
"беременность – всего, человек","30826","29766","28328","25357","23186"
"Из числа закончивших беременность,","","","","",""
"процентов:","","","","",""
"осмотрены терапевтом","99,6","98,9","99,0","99,1","98,7"
"обследованы на реакцию Вассермана","96,0","96,4","95,1","96,8","95,7"
"Из числа закончивших беременность","","","","",""
"страдали, процентов:","","","","",""
"анемией","36,2","35,8","35,0","35,5","39,0"
"болезнями системы кровообращения","27,5","25,0","22,4","22,3","19,9"
"сахарным диабетом","1,3","2,8","3,3","5,4","8,5"
"болезнями мочеполовой  системы","19,8","20,3","20,0","20,2","19,0"
"болезнями щитовидной железы","10,0","11,0","12,9","14,5","14,3"
"отеками,  протеинурией  и  гипертензив-","","","","",""
"ными расстройствами","14,7","…","…","…","…"
"венозными осложнениями","7,2","7,7","7,1","7,0","7,5"
