"","8.26. ЗАБОЛЕВАЕМОСТЬ ДЕТЕЙ В ВОЗРАСТЕ 0-14 лет","","","",""
"","ПО ОСНОВНЫМ КЛАССАМ И ГРУППАМ БОЛЕЗНЕЙ1)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Всего, человек","",""
"Все болезни","713554","747700","793618","790474","801590"
"в том числе:","","","","",""
"некоторые инфекционные и паразитар-","","","","",""
"ные болезни","26859","26060","25619","26138","25760"
"новообразования","1662","1824","1832","1876","1944"
"болезни крови и кроветворных органов","","","","",""
"и отдельные нарушения, вовлекающие","","","","",""
"иммунный механизм","7645","6982","6942","6371","5356"
"болезни эндокринной системы, рас-","","","","",""
"стройства питания,  нарушения обмена","","","","",""
"веществ  и иммунитета","5594","5269","5427","5511","5242"
"психические расстройства","8202","8053","6764","7538","7185"
"болезни нервной системы","18391","19391","20169","20612","21794"
"болезни глаза и его придаточного аппа-","","","","",""
"рата","23188","23715","23050","23839","22867"
"болезни уха и сосцевидного отростка","19621","19395","19055","18289","17401"
"болезни системы кровообращения","2856","2822","2116","2072","1916"
"болезни органов дыхания","463808","488755","543992","552646","567134"
"болезни органов пищеварения","29666","35925","33889","26031","28880"
"болезни кожи и подкожной клетчатки","35489","35641","34999","34521","31949"
"болезни костно-мышечной системы и","","","","",""
"соединительной ткани","13236","13412","12245","11612","11302"
"болезни мочеполовой системы","13132","14136","13664","13355","12665"
"врожденные аномалии (пороки разви-","","","","",""
"тия), деформации и хромосомные на-","","","","",""
"рушения","3485","3866","3978","4366","3887"
"","","Статистический ежегодник «Алтайский край. 2014-2018»","","",""
"130","","","","",""
