"","9.1. ОСНОВНЫЕ ПОКАЗАТЕЛИ КУЛЬТУРЫ1)","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число профессиональных театров","6","6","6","6","7"
"Численность зрителей:","","","","",""
"тыс. человек","426,7","390,2","411,1","424,7","437,8"
"на 1000 человек населения","179","164","173","180","187"
"Число музеев","58","58","54","53","57"
"Число посещений музеев:","","","","",""
"тыс. человек","486,0","471,9","427,2","441,0","447,5"
"на 1000 человек населения","204","198","180","187","191"
"Число учреждений культурно-досугового типа","1178","1152","1124","1097","1069"
"Число общедоступных библиотек","841","946","961","495","166"
"Библиотечный фонд:","","","","",""
"тыс. экз.","12270","12785","12902","8308","5231"
"на 1000 человек населения, экз.","5145","5379","5454","3535","2242"
