"","9.5. ПОКАЗАТЕЛИ РАБОТЫ ОБЩЕДОСТУПНЫХ БИБЛИОТЕК","","","",""
"(на конец года)","","","","",""
"","2014","2015","2016","2017","2018"
"Число библиотек – всего","841","946","961","495","166"
"в том числе в сельской местности","760","872","890","432","110"
"Библиотечный фонд – всего, тыс. экз.","12270","12785","12902","8308","5231"
"в том числе в сельской местности","7463","8282","8392","4028","1123"
"на 1000 населения, экз.","5145","5379","5454","3535","2242"
"в том числе в сельской местности","7113","7952","8115","3934","1112"
"Число зарегистрированных пользователей библиотек, тыс.","","","","",""
"человек","861","872","863","578","399"
"Число посещений библиотек, тыс. человек","","","","",""
"(включая число обращений удаленных пользователей)","6911","7706","8002","5275","3450"
"Количество выданных книг, брошюр и журналов, тыс. экз.","18792","18946","18776","12356","8199"
"Обращаемость книжного фонда, экз.","1,5","1,5","1,5","1,5","1,6"
"Среднее число книг и журналов на одного читателя, экз.","14,3","14,7","15,0","14,4","13,1"
"Интенсивность использования библиотечного фонда (чи-","","","","",""
"таемость), экз.","21,8","21,7","21,8","21,4","20,6"
