"","9.6. САНАТОРНО-КУРОРТНЫЕ ОРГАНИЗАЦИИ И ОРГАНИЗАЦИИ ОТДЫХА1)","","","",""
"","2014","2015","2016","2017","2018"
"Санаторно-курортные организации","","","","",""
"число учреждений","40","41","37","38","37"
"в них коек","8326","8324","7865","7970","7873"
"обслужено лиц2), тыс. человек","166,3","189,3","181,4","168,4","164,2"
"Организации отдыха","","","","",""
"число учреждений","42","36","61","1263)","1283)"
"в них коек","4028","4830","6420","14165","13944"
"обслужено лиц2), тыс. человек","54,6","55,7","84,7","96,0","105,9"
"Туристские базы","","","","",""
"число учреждений","7","8","19","32","35"
"в них мест","844","556","1580","2420","2468"
"обслужено лиц, тыс. человек","4,3","3,2","20,5","42,4","24,6"
