"","9.7. ДЕТСКИЕ ОЗДОРОВИТЕЛЬНЫЕ УЧРЕЖДЕНИЯ1)","","","",""
"","2014","2015","2016","2017","2018"
"Детские оздоровительные учреждения – всего","1134","1101","1048","727","863"
"том числе:","","","","",""
"загородные","67","67","65","60","…"
"санаторного типа","10","9","9","7","…"
"оздоровительные с дневным пребыванием де-","","","","",""
"тей в период каникул","1024","998","947","650","…"
"профильные, оборонно-спортивные, оздорови-","","","","",""
"тельно-спортивные, труда и отдыха","33","27","27","10","…"
"палаточные","…","…","…","…","6"
"стационарные","…","…","…","…","857"
"Численность детей, отдохнувших в них за","","","","",""
"лето – всего, тыс. человек","191,8","166,7","173,0","136,0","165,9"
"в том числе в лагерях:","","","","",""
"загородных","53,3","58,6","70,9","69,6","…"
"санаторного типа","6,4","5,5","8,4","5,7","…"
"для школьников с дневным пребыванием","86,9","88,0","86,6","59,6","…"
"профильных, оборонно-спортивных, оздорови-","","","","",""
"тельно-спортивных, труда и отдыха","45,2","14,6","7,1","1,1","…"
"палаточные","…","…","…","…","3,2"
"стационарные","…","…","…","…","162,7"
