"","9.10. ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ ТУРИСТСКИХ ФИРМ1)","","","",""
"","2014","20152)","2016","2017","2018"
"Число туристских фирм (на конец года) – всего","161","167","133","155","160"
"в том числе занимались:","","","","",""
"туроператорской деятельностью","1","1","17","8","9"
"туроператорской и турагентской деятельностью","23","-","19","21","22"
"турагентской деятельностью","127","138","83","126","129"
"экскурсионной деятельностью","10","28","14","…","…"
"Средняя численность работников (включая","","","","",""
"внешних совместителей и работников, выпол-","","","","",""
"нявших работы по договорам гражданско-","","","","",""
"правового характера)3), человек","465","525","326","371","…"
"Число реализованных населению туристских","","","","",""
"путевок (турпакетов) – всего","35386","28461","25761","39899","41144"
"в том числе:","","","","",""
"по территории России","16045","13709","18615","22003","17637"
"по зарубежным странам","19341","14752","7146","17896","23507"
"Стоимость реализованных населению турист-","","","","",""
"ских  путевок (турпакетов) – всего, тыс. рублей","1636224","1342178","1283357","2526596","3121685"
"в том числе:","","","","",""
"по территории России","350634","271881","604430","923573","772415"
"по зарубежным странам (включая страны СНГ)","1285590","1070297","678927","1603023","2349270"
"Число обслуженных туристов, человек","59308","49626","53552","74589","81632"
"в том числе:","","","","",""
"по территории России","25642","23339","40302","43640","37390"
"по зарубежным странам (включая страны СНГ)","33528","26160","13250","30949","44242"
"комплексные туры","138","127","…","…","…"
