"","10.1. ЧИСЛО ЗАРЕГИСТРИРОВАННЫХ ПРЕСТУПЛЕНИЙ ПО ВИДАМ","","","",""
"","2014","2015","2016","2017","2018"
"Всего зарегистрировано преступлений","44096","48582","44576","40055","38413"
"из них:","","","","",""
"убийство и покушение на убийство","207","209","196","161","148"
"умышленное причинение тяжкого вреда","","","","",""
"здоровью","694","643","586","535","534"
"изнасилование и покушение на изнасило-","","","","",""
"вание","91","62","66","61","46"
"разбой","116","125","122","85","97"
"грабеж","1038","996","912","825","660"
"кража","18492","20763","17838","15347","14624"
"преступления, связанные с незаконным","","","","",""
"оборотом наркотиков","5146","4396","3430","3383","3438"
"нарушения правил дорожного движения и","","","","",""
"эксплуатации транспортных средств","374","372","330","344","376"
"из них повлекшие по неосторожности","","","","",""
"смерть человека","132","126","112","121","119"
