"","10.2. СОСТАВ ЛИЦ, СОВЕРШИВШИХ ПРЕСТУПЛЕНИЯ","","","",""
"","(человек)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено лиц, совершивших преступле-","","","","",""
"ния","24763","26665","26039","23465","22786"
"в том числе:","","","","",""
"по полу:","","","","",""
"мужчины","21127","22579","22351","20101","19549"
"женщины","3636","4086","3688","3364","3237"
"по возрасту во время совершения преступ-","","","","",""
"ления, лет:","","","","",""
"14-15","363","417","405","429","396"
"16-17","766","920","814","686","671"
"18-24","4785","4749","4321","3606","3192"
"25-29","4645","4903","4770","4028","3544"
"30 и старше","14204","15676","15729","14716","14983"
"по занятию на момент совершения престу-","","","","",""
"пления:","","","","",""
"лица без постоянного источника дохода","16504","17856","17810","15980","15161"
"безработные","270","190","26","29","173"
