"","10.6. СОСТАВ ОСУЖДЕННЫХ","","","",""
"","(в процентах к итогу)","","","",""
"","2014","2015","2016","2017","2018"
"Всего осуждено","100","100","100","100","100"
"в том числе в возрасте, лет:","","","","",""
"14-17","2","3","3","3","3"
"18-24","20","17","17","16","14"
"25-29","20","20","21","19","17"
"30-49","49","51","50","53","57"
"50 и старше","9","9","9","9","9"
"Из общей численности осужденных:","","","","",""
"женщины","14","13","12","13","12"
"ранее судимые","42","39","37","39","42"
"трудоспособные лица  без  определенных","","","","",""
"занятий","67","68","68","68","67"
