"","11.3. СТРУКТУРА ВАЛОВОЙ ДОБАВЛЕННОЙ СТОИМОСТИ",""
"ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ","",""
"(в процентах к итогу)","",""
"","2016","2017"
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство","17,5","13,7"
"Добыча полезных ископаемых","0,8","0,9"
"Обрабатывающие производства","18,2","19,6"
"Обеспечение электрической энергией, газом и паром; кондиционирование","",""
"воздуха","2,5","2,7"
"Водоснабжение; водоотведение, организация сбора и утилизация отходов,","",""
"деятельность по ликвидации загрязнений","0,8","0,8"
"Строительство","4,7","6,0"
"Торговля оптовая и розничная; ремонт автотранспортных средств и мото-","",""
"циклов","14,7","14,0"
"Транспортировка и хранение","4,9","5,7"
"Деятельность гостиниц и предприятий общественного питания","1,0","1,2"
"Деятельность в области информации и связи","3,0","3,1"
"Деятельность финансовая и страховая","0,3","0,3"
"Деятельность по операциям с недвижимым имуществом","9,6","9,7"
