"","","Продолжение табл. 11.3"
"","2016","2017"
"Деятельность профессиональная, научная и техническая","2,5","2,1"
"Деятельность административная и сопутствующие дополнительные услуги","1,7","1,6"
"Государственное управление и обеспечение военной безопасности; социаль-","",""
"ное обеспечение","7,0","7,2"
"Образование","4,1","4,3"
"Деятельность в области здравоохранения и социальных услуг","5,5","5,7"
"Деятельность в области культуры, спорта, организации досуга и развлечений","0,5","0,7"
"Предоставление прочих видов услуг","0,7","0,7"
"Деятельность домашних хозяйств как работодателей","-","-"
"Итого валовая добавленная стоимость в основных ценах","100","100"
