"","11.4. ИНДЕКСЫ ФИЗИЧЕСКОГО ОБЪЕМА ВАЛОВОЙ ДОБАВЛЕННОЙ"
"СТОИМОСТИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ",""
"(в процентах к предыдущему году)",""
"","2017"
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство","95,0"
"Добыча полезных ископаемых","107,5"
"Обрабатывающие производства","102,4"
"Обеспечение электрической энергией, газом и паром; кондиционирование",""
"воздуха","102,5"
"Водоснабжение; водоотведение, организация сбора и утилизация отходов,",""
"деятельность по ликвидации загрязнений","97,6"
"Строительство","124,9"
"Торговля оптовая и розничная; ремонт автотранспортных средств и мото-",""
"циклов","97,0"
"Транспортировка и хранение","109,9"
"Деятельность гостиниц и предприятий общественного питания","120,3"
"Деятельность в области информации и связи","105,1"
"Деятельность финансовая и страховая","93,8"
"Деятельность по операциям с недвижимым имуществом","99,3"
"Деятельность профессиональная, научная и техническая","83,0"
"Деятельность административная и сопутствующие дополнительные услуги","95,4"
"Государственное управление и обеспечение военной безопасности; соци-",""
"альное обеспечение","98,8"
"Образование","98,9"
"Деятельность в области здравоохранения и социальных услуг","99,3"
"Деятельность в области культуры, спорта, организации досуга и развлече-",""
"ний","105,1"
"Предоставление прочих видов услуг","97,6"
"Деятельность домашних хозяйств как работодателей","-"
"Итого валовая добавленная стоимость в основных ценах","100,5"
