"","11.6. СЧЕТ ОБРАЗОВАНИЯ ДОХОДОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ","","",""
"","(в текущих ценах; миллионов рублей)","","",""
"","Ресурсы","","Использование",""
"","валовая","оплата труда","другие","валовая"
"","добавленная","наемных","чистые","прибыль"
"","стоимость","работников","налоги на","экономики"
"","","","производство","и валовые"
"","","","","смешанные"
"","","","","доходы"
"","","2016","",""
"Сельское, лесное хозяйство, охота, рыболовст-","","","",""
"во и рыбоводство","87809,2","16037,4","880,2","70891,6"
"Добыча полезных ископаемых","4059,2","1821,8","112,9","2124,5"
"Обрабатывающие производства","91475,6","33129,9","1463,3","56882,4"
"Обеспечение электрической энергией, газом и","","","",""
"паром; кондиционирование воздуха","12717,7","9486,1","792,3","2439,2"
"Водоснабжение; водоотведение, организация","","","",""
"сбора и утилизация отходов, деятельность по","","","",""
"ликвидации загрязнений","3878,8","2271,1","58,9","1548,8"
"Строительство","23521,1","6996,5","263,9","16260,7"
"Торговля оптовая и розничная; ремонт авто-","","","",""
"транспортных средств и мотоциклов","73586,0","22282,3","557,5","50746,2"
"Транспортировка и хранение","24724,8","12305,1","1475,6","10944,2"
"Деятельность гостиниц и предприятий обще-","","","",""
"ственного питания","5051,7","1653,3","31,7","3366,6"
"Деятельность в области информации и связи","14893,2","4265,2","295,4","10332,6"
"Деятельность финансовая и страховая","1376,7","616,3","1,9","758,5"
"Деятельность по операциям с недвижимым","","","",""
"имуществом","48076,8","2939,9","1065,3","44071,7"
"Деятельность профессиональная, научная и","","","",""
"техническая","12496,7","4444,7","85,9","7966,2"
