"","","","","Продолжение табл. 23.21"
"","Число организаций,","","Удельный вес организаций,",""
"","имевших просроченную","","имевших просроченную",""
"","задолженность","","задолженность, в общем",""
"","","","числе организаций,",""
"","","","процентов",""
"","покупателей","поставщикам","покупателей","поставщикам"
"производство мебели","-","-","-","-"
"производство прочих готовых изделий","2","1","100,0","50,0"
"обеспечение электрической энергией, газом и","","","",""
"паром; кондиционирование воздуха","60","59","73,2","69,4"
"водоснабжение; водоотведение, организация","","","",""
"сбора и утилизации отходов, деятельность по","","","",""
"ликвидации загрязнений","19","16","70,4","64,0"
"строительство","4","4","20,0","20,0"
"торговля оптовая и розничная; ремонт","","","",""
"автотранспортных средств и мотоциклов","9","1","13,6","1,5"
"в том числе:","","","",""
"торговля оптовая и розничная","","","",""
"автотранспортными средствами и","","","",""
"мотоциклами и их ремонт","1","-","25,0","-"
"торговля оптовая, кроме оптовой торговли","","","",""
"автотранспортными средствами и","","","",""
"мотоциклами","4","1","10,5","2,7"
"торговля розничная, кроме торговли авто-","","","",""
"транспортными средствами и мотоциклами","4","-","16,7","-"
"транспортировка и хранение","9","6","28,1","18,8"
"деятельность гостиниц и предприятий","","","",""
"общественного питания","3","2","37,5","25,0"
"деятельность в области информации и связи","1","-","14,3","-"
"деятельность финансовая и страховая","-","-","-","-"
"деятельность по операциям с недвижимым","","","",""
"имуществом","8","6","40,0","30,0"
"деятельность профессиональная, научная и","","","",""
"техническая","4","1","44,4","9,1"
"деятельность административная и","","","",""
"сопутствующие дополнительные услуги","6","3","66,7","33,3"
"государственное управление и обеспечение","","","",""
"военной безопасности; социальное","","","",""
"обеспечение","1","-","100,0","-"
"образование","1","-","8,3","-"
"деятельность в области здравоохранения и","","","",""
"социальных услуг","1","-","7,1","-"
"деятельность в области культуры, спорта,","","","",""
"организации досуга и развлечений","-","-","-","-"
"предоставление прочих видов услуг","4","2","57,1","28,6"
