"","24.3. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ ПО ВИДАМ ОСНОВНЫХ ФОНДОВ1)","",""
"","","20182)",""
"","Млн рублей","","В процентах к итогу"
"Инвестиции в основной капитал – всего","109925,2","","100"
"в том числе по видам основных фондов:","","",""
"жилые здания и помещения","19762,3","","18,0"
"здания (кроме жилых) и сооружения, расходы","","",""
"на улучшение земель","36633,3","","33,3"
"машины и оборудование, включая хозяйствен-","","",""
"ный инвентарь, и другие объекты","49088,5","","44,7"
"объекты интеллектуальной","","",""
"собственности","228,6","","0,2"
"прочие","4212,5","","3,8"
