"","24.5. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ ПО ИСТОЧНИКАМ ФИНАНСИРОВАНИЯ","","","",""
"","(без субъектов малого предпринимательства и объема инвестиций,","","","",""
"","не наблюдаемых прямыми статистическими методами)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Млн рублей","",""
"Инвестиции в основной капитал –  всего","52598,5","44208,7","42033,4","48555,8","61918,3"
"в том числе по источникам финансирования:","","","","",""
"собственные средства","19773,9","19053,3","19915,0","24422,0","23759,6"
"привлеченные средства","32824,6","25155,4","22118,4","24133,8","38158,7"
"из них:","","","","",""
"кредиты банков","4539,4","2615,3","2748,6","2492,8","6167,2"
"бюджетные средства – всего","10289,0","12321,2","10581,9","9533,7","11733,1"
"в том числе:","","","","",""
"из федерального бюджета","4682,4","5924,0","3847,8","2815,7","3717,8"
"из бюджетов субъектов Российской Федерации","","","","",""
"и местных бюджетов","5606,6","6397,3","6734,1","6718,0","8015,3"
"","","","В процентах к итогу","",""
"Инвестиции в основной капитал – всего","100","100","100","100","100"
"в том числе по источникам финансирования:","","","","",""
"собственные средства","37,6","43,1","47,4","50,3","38,4"
"привлеченные средства","62,4","56,9","52,6","49,7","61,6"
"из них:","","","","",""
"кредиты банков","8,6","5,9","6,5","5,1","10,0"
"бюджетные средства – всего","19,6","27,9","25,2","19,6","18,9"
"в том числе:","","","","",""
"из федерального бюджета","8,9","13,4","9,2","5,8","6,0"
"из бюджетов субъектов Российской Федерации","","","","",""
"и местных бюджетов","10,7","14,5","16,0","13,8","12,9"
