"24.8. ИНДЕКСЫ ФИЗИЧЕСКОГО ОБЪЕМА ИНВЕСТИЦИЙ",""
"В ОСНОВНОЙ КАПИТАЛ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ",""
"(в сопоставимых ценах; в процентах к предыдущему году)",""
"","2018"
"Всего","124,1"
"в том числе по видам деятельности:",""
"сельское, лесное хозяйство, охота, рыболовство, рыбоводство","99,0"
"добыча полезных ископаемых","129,5"
"обрабатывающие производства","в 1,6 р."
"из них:",""
"производство пищевых продуктов","123,2"
"производство напитков","56,4"
"производство текстильных изделий","119,2"
"производство одежды","в 7,1 р."
"обработка древесины и производство изделий из дерева и пробки, кроме мебели,",""
"производство изделий из соломки и материалов для плетения","в 3,5 р."
"производство бумаги и бумажных изделий","в 9,3 р."
"деятельность полиграфическая и копирование носителей информации","66,9"
"производство кокса и нефтепродуктов","в 3,7 р."
"производство химических веществ и химических продуктов","137,0"
"производство лекарственных средств и материалов, применяемых в медицинских",""
"целях","98,5"
"производство резиновых и пластмассовых изделий","147,0"
"производство прочей неметаллической минеральной продукции","в 2,2 р."
"производство металлургическое","в 4,1 р."
"производство готовых металлических изделий, кроме машин и оборудования","40,6"
"производство компьютеров, электронных и оптических изделий","123,3"
"производство электрического оборудования","21,8"
"производство машин и оборудования, не включенных в другие группировки","138,9"
"производство автотранспортных средств, прицепов и полуприцепов","29,8"
"производство прочих транспортных средств и оборудования","в 3,2 р."
"производство мебели","-"
"производство прочих готовых изделий","в 6,7 р."
"ремонт и монтаж машин и оборудования","в 1,7 р."
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","81,3"
"водоснабжение; водоотведение, организация сбора и утилизация отходов, деятель-",""
"ность по ликвидации загрязнений","101,1"
"строительство","141,9"
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов","79,4"
"транспортировка и хранение","в 1,7 р."
"деятельность гостиниц и предприятий общественного питания","13,1"
"деятельность в области информации и связи","103,8"
"деятельность финансовая и страховая","в 1,6 р."
"деятельность по операциям с недвижимым имуществом","117,1"
"деятельность профессиональная, научная и техническая","74,5"
"деятельность административная и сопутствующие дополнительные услуги","67,6"
"государственное управление и обеспечение военной безопасности; социальное обес-",""
"печение","106,9"
"образование","122,8"
"деятельность в области здравоохранения и социальных услуг","133,0"
"деятельность в области культуры, спорта, организации досуга и развлечений","в 1,6 р."
"предоставление прочих видов услуг","в 1,5 р."
