"","25.4. ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН","","","",""
"","НА ОТДЕЛЬНЫЕ ГРУППЫ НЕПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ","","","",""
"","(декабрь к декабрю предыдущего года; в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Непродовольственные товары","108,8","114,2","107,5","103,1","104,6"
"хлопчатобумажные ткани","104,7","113,5","106,5","103,4","102,7"
"шерстяные ткани","105,5","111,3","112,1","109,3","102,8"
"шелковые ткани","105,9","118,7","110,2","105,7","100,3"
"одежда","107,4","116,3","111,4","104,3","99,4"
"верхний трикотаж","109,6","112,9","108,6","103,9","103,0"
"бельевой трикотаж","107,0","118,2","107,7","105,0","101,0"
"чулочно-носочные изделия","107,2","118,6","108,2","100,3","101,8"
"кожаная, текстильная и комбинированная","","","","",""
"обувь","106,5","122,1","125,1","102,6","101,0"
"моющие средства","107,1","122,2","106,3","95,8","102,1"
"парфюмерия","107,4","121,3","111,3","103,3","99,6"
"галантерея","108,8","124,2","111,9","104,0","103,4"
"табачные изделия","130,8","125,1","120,4","101,8","112,1"
"телерадиотовары","137,9","105,1","96,4","95,4","101,1"
"электротовары","127,4","113,6","105,4","97,0","103,3"
"строительные материалы","103,5","107,0","105,4","103,2","108,2"
"мебель","103,6","106,8","101,8","101,0","104,1"
"часы","110,5","125,5","114,5","104,0","103,6"
"ювелирные изделия","106,7","118,2","109,6","99,5","103,8"
"бензин автомобильный","107,1","105,5","104,1","108,4","111,0"
