"","25.6. СРЕДНИЕ ПОТРЕБИТЕЛЬСКИЕ ЦЕНЫ","","","",""
"","НА ОТДЕЛЬНЫЕ ВИДЫ ПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ","","","",""
"","(на конец года; рублей за килограмм)","","","",""
"","2014","2015","2016","2017","2018"
"Говядина (кроме бескостного мяса)","243,86","277,62","269,48","271,91","294,20"
"Свинина (кроме бескостного мяса)","248,64","249,62","242,10","235,99","253,09"
"Куры  охлажденные и мороженые","129,46","128,12","128,58","120,29","138,82"
"Колбаса вареная","275,08","300,85","316,33","316,65","343,16"
"Говядина, свинина тушеная консервированная,350 г","73,27","94,99","100,98","103,49","108,35"
"Рыба замороженная разделанная","109,30","129,53","135,28","125,91","147,31"
"Рыба соленая, маринованная, копченая","286,74","352,84","379,92","409,19","410,36"
"Консервы рыбные натуральные и с добавлением","","","","",""
"масла, 350 г","57,18","75,16","84,94","87,48","92,04"
"Масло сливочное","289,07","301,94","429,15","438,11","440,49"
"Масло подсолнечное","62,18","88,28","91,24","77,74","84,68"
"Молоко питьевое цельное пастеризованное","","","","",""
"2,5-3,2% жирности, за л","44,30","42,83","45,69","45,72","46,46"
"Сыры сычужные твердые и мягкие","323,04","345,95","403,47","395,60","448,59"
"Яйца куриные, за десяток","47,74","51,69","52,60","43,12","55,46"
"Сахар-песок","46,22","51,10","49,57","35,82","46,13"
"Чай черный, байховый","350,72","509,70","562,63","561,47","598,39"
"Мука пшеничная","22,85","25,71","25,15","22,14","24,07"
"Хлеб и булочные изделия из пшеничной муки","","","","",""
"высшего сорта","63,59","69,43","71,89","71,83","71,99"
"Рис шлифованный","46,44","60,25","55,00","57,36","58,35"
"Макаронные изделия","43,66","51,95","56,13","55,94","52,38"
"Картофель","22,08","19,24","15,38","17,67","17,83"
"Капуста белокочанная свежая","21,65","20,62","11,73","13,63","18,93"
"Лук репчатый","30,17","22,73","17,67","21,60","18,84"
"Яблоки","79,13","89,59","87,49","93,65","90,10"
"Водка крепостью 40% об. спирта и выше, за л","501,61","542,64","556,67","548,08","550,03"
