"","25.9. СРЕДНИЕ ЦЕНЫ (ТАРИФЫ) НА ОТДЕЛЬНЫЕ ВИДЫ УСЛУГ","","","",""
"","(на конец года;  рублей)","","","",""
"","2014","2015","2016","2017","2018"
"Проезд в городском автобусе, поездка","14,16","16,16","18,54","18,73","19,40"
"Абонентская плата  за неограниченный объем  мест-","","","","",""
"ных соединений месяц","394,91","406,08","411,30","445,93","445,89"
"Плата за жилье в домах муниципального жилищного","","","","",""
"фонда, за м 2 общей площади","18,89","20,99","21,27","21,49","23,87"
"Электроэнергия в квартирах без электроплит,","","","","",""
"100 кВт·ч","352,00","360,00","370,00","381,00","392,00"
"Электроэнергия в квартирах c электроплитами,","","","","",""
"100 кВт·ч","250,00","270,00","290,00","305,00","320,00"
"Водоснабжение холодное, м3","15,56","18,71","20,22","21,09","21,04"
"Отопление, Гкал","1207,06","1377,75","1567,59","1676,58","1792,87"
"Газ сетевой, месяц с человека","70,49","75,70","77,49","80,12","82,47"
"Посещение детского ясли-сада, день","69,27","74,40","74,42","97,03","77,35"
