"","25.13. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПРОДУКЦИИ","","","",""
"","(в процентах к предыдущему году)","","","",""
"","2014","2015","2016","2017","2018"
"Продукция сельского хозяйства","106,5","114,1","107,6","97,2","90,8"
"продукция растениеводства","88,1","126,0","118,6","87,3","87,1"
"зерновые и зернобобовые  культуры","89,0","128,4","111,2","90,4","81,1"
"пшеница","92,2","130,1","105,9","91,7","85,0"
"рожь","93,8","113,3","118,7","102,0","93,3"
"гречиха","76,1","179,3","132,7","75,4","55,1"
"просо","95,9","112,6","86,3","95,0","114,4"
"ячмень","81,6","106,3","116,0","97,7","91,5"
"зернобобовые","90,2","115,9","124,4","96,8","63,6"
"овес","74,1","98,9","129,3","101,0","91,1"
"подсолнечник","68,9","137,0","138,7","88,1","78,8"
"сахарная свекла","98,3","130,9","147,8","73,6","103,7"
"картофель","100,2","107,2","61,2","144,8","112,3"
"овощи","104,7","102,6","100,2","95,2","106,8"
"помидоры","114,7","94,8","120,7","96,1","88,3"
"огурцы","103,2","106,7","94,2","95,3","112,3"
"лук репчатый","140,5","135,7","75,7","105,4","100,0"
"капуста","103,1","101,6","96,6","84,0","110,8"
"морковь","122,9","141,5","85,4","95,8","119,1"
"свекла столовая","120,3","145,7","98,6","104,7","113,4"
"семечковые плоды","100,1","101,1","109,3","110,6","112,8"
"плоды ягодных культур","129,1","92,1","99,6","118,2","101,6"
