"","","","","","Продолжение табл. 25.13"
"","2014","2015","2016","2017","2018"
"продукция животноводства","114,6","110,3","103,2","103,5","92,6"
"скот и птица – всего","109,3","116,7","99,1","100,7","93,0"
"крупный рогатый скот","105,8","116,8","102,9","102,0","101,3"
"овцы и козы","101,6","100,0","113,0","98,1","94,1"
"свиньи","118,2","114,5","87,5","104,8","97,7"
"птица","109,8","117,6","99,6","99,3","88,3"
"молоко","124,1","99,5","112,1","110,6","88,1"
"яйца","105,5","120,1","92,9","91,2","109,2"
"шерсть","85,6","95,5","101,3","100,3","88,4"
