"","25.14. СРЕДНИЕ ЦЕНЫ ПРОИЗВОДИТЕЛЕЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПРОДУКЦИИ","","","",""
"","(в среднем за год; рублей за тонну)","","","",""
"","2014","2015","2016","2017","2018"
"Зерновые  и зернобобовые культуры","6436","9988","11478","8060","7132"
"пшеница","6646","9690","9425","7329","7339"
"рожь","4058","4715","6109","5483","5439"
"гречиха","9879","19326","27436","13502","7578"
"просо","5993","8296","6402","7047","11868"
"ячмень","4488","6863","7630","6120","6385"
"овес","3085","4518","8270","7452","5767"
"зернобобовые","7101","10934","15147","11369","6828"
"Подсолнечник","9882","17773","22598","15053","13657"
"Сахарная свекла","1888","3357","3779","2559","2801"
"Картофель","15278","15278","10424","14994","15227"
"Овощи","57888","57094","49740","53130","71604"
"помидоры","66615","65407","77330","66982","64974"
"огурцы","69776","82064","76497","75661","92943"
"лук репчатый","15788","19295","15671","18000","…"
"капуста","9099","14122","8614","9082","11987"
"морковь","18798","27944","20869","18539","21207"
"свекла столовая","17409","26482","25517","25622","26048"
"Семечковые плоды","24050","25424","28686","34253","33898"
"Плоды ягодных культур","49332","39012","58626","67856","64158"
"Cкот и птица (в живом весе)","76479","93896","87518","85053","86910"
"крупный рогатый скот","77448","94741","96239","95873","95470"
"свиньи","99902","116689","99196","98561","106741"
"овцы","75000","…","95244","97142","72477"
"птица","73984","85545","81219","77492","79030"
"Молоко","19212","19247","22127","24517","21299"
"Яйца,  за 1000 шт.","2755","3499","3293","2905","3377"
"Шерсть (в физическом весе)","13130","12251","13995","11416","…"
