"","(на начало года; тысяч гектаров)","","","",""
"","2015","2016","2017","2018","2019"
"Всего земель","16799,6","16799,6","16799,6","16799,6","16799,6"
"в том числе:","","","","",""
"сельскохозяйственные угодья","11007,0","11006,8","11006,6","11006,4","11004,9"
"в процентах от общей площади","65,5","65,5","65,5","65,5","65,5"
"лесные земли","4028,0","4029,3","4029,3","4029,3","4030,3"
"в процентах от общей площади","24,0","24,0","24,0","24,0","24,0"
"земли под поверхностными водами,","","","","",""
"включая болота","817,3","817,3","817,3","817,3","817,3"
"в процентах от общей площади","4,9","4,9","4,9","4,9","4,9"
"другие земли","947,3","946,2","946,4","946,6","947,1"
"в процентах от общей площади","5,6","5,6","5,6","5,6","5,6"
