"","ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ НА ОКРУЖАЮЩУЮ СРЕДУ","","","",""
"","2014","2015","2016","2017","2018"
"Забор воды из природных источников1),","","","","",""
"млн м3","440","412","407","387","375"
"Сброс загрязненных сточных вод (без","","","","",""
"очистки и недостаточно очищенных) в","","","","",""
"поверхностные водные объекты1), млн м3","11","16","18","17","17"
"Выбросы загрязняющих веществ в атмо-","","","","",""
"сферный воздух, тыс. т","","","","",""
"от стационарных источников","203","204","213","204","192"
"от автотранспорта2)","233","233","232","239","249"
"Образовано отходов производства и по-","","","","",""
"требления2), тыс. т","2957","3178","2833","11630","9031"
"из них использовано и обезврежено","1022","1299","798","8242","7464"
