"","2014","2015","2016","2017","2018"
"Объем сброса сточных вод в по-","","","","",""
"верхностные водные объекты,","","","","",""
"млн м3","290,0","287,8","292,4","269,0","260,6"
"В составе сточных вод сброшено:","","","","",""
"сульфатов, тыс. т","19,9","14,4","18,8","26,3","24,1"
"хлоридов, тыс. т","6,3","7,0","7,5","7,1","7,1"
"азота аммонийного, т","215,8","192,2","215,7","251,7","170,6"
"нитратов-анионов, т","3663,3","3937,0","3478,3","3866,9","3756,3"
"жиров и масел (природного","","","","",""
"происхождения), т","10,3","10,5","10,2","10,2","8,8"
"фосфатов, т","162,8","150,9","122,6","121,0","114,8"
