"","","(тысяч тонн)","","",""
"","2014","2015","2016","2017","2018"
"Всего","203,1","204,5","213,3","204,2","192,0"
"в том числе:","","","","",""
"твердые вещества","45,2","44,3","45,3","45,1","31,8"
"газообразные и жидкие вещества","157,9","160,2","168,0","159,1","160,1"
"из них:","","","","",""
"диоксид серы","38,8","40,4","41,3","39,2","34,2"
"оксиды азота (в пересчёте на","","","","",""
"NO2)","26,4","27,4","27,9","27,5","24,9"
"оксид углерода","84,0","82,5","88,4","81,8","54,3"
"углеводороды (без летучих орга-","","","","",""
"нических соединений)","4,4","5,3","5,3","5,8","4,2"
"летучие органические соедине-","","","","",""
"ния (ЛОС)","2,3","2,8","3,6","3,3","3,7"
