"","4.1. ОСНОВНЫЕ ДЕМОГРАФИЧЕСКИЕ ПОКАЗАТЕЛИ","","","","",""
"","2014","2015","2016","2017","2018","2019"
"Численность населения1) – всего, тыс. человек","2390,6","2384,8","2376,8","2365,7","2350,1","2332,8"
"в том числе:","","","","","",""
"городское","1333,1","1335,6","1335,3","1331,5","1326,4","1322,6"
"сельское","1057,5","1049,2","1041,5","1034,2","1023,7","1010,2"
"Из общей численности населения – население","","","","","",""
"в возрасте, тыс. человек:","","","","","",""
"моложе трудоспособного","427,2","435,6","443,1","447,5","448,4","445,8"
"трудоспособном","1372,7","1344,9","1315,4","1288,5","1261,9","1239,4"
"старше трудоспособного","590,7","604,3","618,3","629,7","639,8","647,6"
"Ожидаемая продолжительность жизни при ро-","","","","","",""
"ждении, число лет:","","","","","",""
"все население","70,01","70,44","70,74","71,10","71,11",""
"мужчины","64,33","64,97","65,12","65,71","65,74",""
"женщины","75,72","75,84","76,34","76,39","76,40",""
"На 1000 человек населения","","","","","",""
"Родившихся","13,2","12,6","12,1","10,8","10,0",""
"Умерших – всего","14,2","14,1","14,1","14,0","14,2",""
"в том числе детей в возрасте до 1 года2)","8,7","7,3","7,3","7,1","7,4",""
"Естественный прирост, убыль (-) населения","-1,0","-1,5","-2,0","-3,2","-4,2",""
"Число браков","7,7","6,8","6,1","6,5","5,6",""
"Число разводов","5,5","4,5","4,4","4,6","4,3",""
"Миграционный прирост, убыль (-) населения3)","-13,7","-18,7","-27,3","-34,2","-31,7",""
