"","4.4. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ МУЖЧИН И ЖЕНЩИН","","","","",""
"","ПО ВОЗРАСТНЫМ ГРУППАМ на 1 января 2019 г.","","","","",""
"","","(человек)","","","",""
"","","Все население","Городское население","","","Сельское население"
"","мужчины","женщины","мужчины","женщины","мужчины","женщины"
"Всего","1077522","1255291","600338","722276","477184","533015"
"в том числе в возрасте, лет:","","","","","",""
"0-4","70192","67062","40328","38789","29864","28273"
"5-9","77612","74201","42130","40091","35482","34110"
"10-14","67516","63423","35295","33437","32221","29986"
"15-19","58231","56428","31252","30472","26979","25956"
"20-24","53992","51569","30007","27897","23985","23672"
"25-29","73686","72855","51821","56702","21865","16153"
"30-34","91896","91462","60351","62176","31545","29286"
"35-39","89847","93907","55237","57841","34610","36066"
"40-44","81074","88913","46229","51633","34845","37280"
"45-49","70535","79393","39395","45657","31140","33736"
"50-54","60789","70175","31988","38189","28801","31986"
"55-59","80412","98749","38308","50873","42104","47876"
"60-64","79247","106678","36620","55234","42627","51444"
"65-69","56977","86480","27623","47085","29354","39395"
"70 и более","65516","153996","33754","86200","31762","67796"
"Из общей численности  –","","","","","",""
"население в возрасте:","","","","","",""
"моложе трудоспособного","228513","217232","124507","118746","104006","98486"
"трудоспособном","647269","592156","377834","364138","269435","228018"
"старше трудоспособного","201740","445903","97997","239392","103743","206511"
