"","4.6. ЧИСЛО ЖЕНЩИН НА 1000 МУЖЧИН СООТВЕТСТВУЮЩЕЙ ВОЗРАСТНОЙ ГРУППЫ","","","",""
"","","(на 1 января)","","",""
"","2015","2016","2017","2018","2019"
"Все население","1165","1164","1165","1165","1165"
"из него в возрасте, лет:","","","","",""
"0-4","952","957","962","960","955"
"5-9","947","945","949","953","956"
"10-14","949","948","941","942","939"
"15-19","963","966","976","973","969"
"20-24","985","972","948","940","955"
"25-29","996","998","1007","1007","989"
"30-34","1020","1012","1003","995","995"
"35-39","1070","1072","1070","1057","1045"
"40-44","1089","1092","1097","1097","1097"
"45-49","1111","1116","1115","1122","1126"
"50-54","1164","1160","1160","1156","1154"
"55-59","1239","1230","1228","1229","1228"
"60-64","1364","1360","1355","1352","1346"
"65-69","1527","1529","1528","1521","1518"
"70 и более","2438","2451","2438","2394","2351"
"Городское население","1200","1199","1202","1202","1203"
"из него в возрасте, лет:","","","","",""
"0-4","947","952","960","960","962"
"5-9","949","944","954","951","952"
"10-14","959","959","944","946","947"
"15-19","981","969","982","979","975"
"20-24","1044","1029","1000","942","930"
"25-29","1034","1057","1075","1100","1094"
"30-34","1015","1005","1004","1008","1030"
"35-39","1080","1084","1080","1065","1047"
