"","","4.8. НАЦИОНАЛЬНАЯ СТРУКТУРА НАСЕЛЕНИЯ","","","","","",""
"","","(удельный вес лиц данной национальности среди лиц,","","","","","",""
"","","","указавших национальную принадлежность)","","","","",""
"","2002","2010","","2002","2010","","2002","2010"
"Русские","91,99","93,93","Карачаевцы","0,00","0,00","Словаки","0,00","0,00"
"Абазины","0,00","0,00","Карелы","0,00","0,00","Словенцы","-","0,00"
"Абхазы","0,00","0,00","Кеты","0,00","0,00","Табасараны","0,00","0,00"
"Аварцы","0,01","0,01","Киприоты","-","0,00","Таджики","0,06","0,09"
"Австрийцы","-","0,00","Киргизы","0,02","0,02","Талыши","0,00","0,00"
"Агулы","0,00","0,00","Кистины","-","0,00","Татары","0,34","0,29"
"Адыгейцы","0,00","0,00","Китайцы","0,01","0,02","Таты","-","0,00"
"Азербайджанцы","0,22","0,21","Коми","0,01","0,00","Телеуты","0,00","0,00"
"Албанцы","-","0,00","Коми-пермяки","0,01","0,01","Тофалары","0,00","0,00"
"Алтайцы","0,07","0,07","Корейцы","0,05","0,05","Тувинцы","0,01","0,02"
