"","","","","4. НАСЕЛЕНИЕ","","","",""
"","","","","","","","Продолжение табл. 4.8",""
"","2002","2010","","2002","2010","","2002","2010"
"Американцы","0,00","0,00","Коряки","0,00","0,00","Турки","0,00","0,00"
"Арабы","0,00","0,00","Крымские татары","-","0,00","Турки-месхетинцы","-","0,00"
"Армяне","0,31","0,32","Кумандинцы","0,06","0,06","Туркмены","0,01","0,01"
"Ассирийцы","0,01","0,00","Кумыки","0,00","0,00","Удины","0,00","0,00"
"Афганцы","-","0,00","Курды","0,00","0,00","Удмурты","0,04","0,03"
"Балкарцы","0,00","0,00","Лакцы","0,00","0,00","Узбеки","0,08","0,12"
"Башкиры","0,03","0,02","Ланкийцы","-","0,00","Уйгуры","0,01","0,01"
"Белорусы","0,32","0,19","Латыши","0,01","0,01","Украинцы","2,02","1,35"
"Болгары","0,01","0,01","Лезгины","0,01","0,01","Финны","0,00","0,00"
"Британцы","-","0,00","Литовцы","0,02","0,02","Французы","0,00","0,00"
"Булгары","-","0,00","Манси","0,00","0,00","Хакасы","0,00","0,00"
"Буряты","0,01","0,01","Марийцы","0,03","0,02","Ханты","0,00","0,00"
"Венгры","0,00","0,00","Метисы","-","0,00","Хорваты","-","0,00"
"Вепсы","0,00","0,00","Молдаване","0,06","0,05","Цахуры","0,00","0,00"
"Вьетнамцы","0,00","0,00","Монголы","0,00","0,00","Цыгане","0,13","0,13"
"Гагаузы","0,00","0,00","Мордва","0,18","0,13","Черкесы","0,00","0,00"
"Голландцы","-","0,00","Мулаты","-","0,00","Чехи","0,00","0,00"
"Греки","0,01","0,01","Нанайцы","0,00","0,00","Чеченцы","0,03","0,02"
"Грузины","0,04","0,03","Немцы","3,05","2,13","Чуванцы","0,00","0,00"
"Дагестанцы","-","0,00","Ненцы","0,00","0,00","Чуваши","0,13","0,10"
"Даргинцы","0,01","0,00","Нивхи","0,00","0,00","Чукчи","0,00","0,00"
"Долганы","0,00","0,00","Нигерийцы","-","0,00","Шведы","-","0,00"
"Дунгане","0,00","0,01","Новозеландцы","-","0,00","Швейцарцы","-","0,00"
"Евреи","0,04","0,03","Ногайцы","0,00","0,00","Шорцы","0,01","0,00"
"Езиды","0,00","0,00","Орочи","0,00","0,00","Эвенки","0,00","0,00"
"Ингуши","0,01","0,01","Осетины","0,02","0,01","Эвены","0,00","0,00"
"Индийцы","0,00","0,00","Пакистанцы","-","0,00","Эскимосы","0,00","0,00"
"Ирландцы","-","0,00","Памирцы","-","0,00","Эстонцы","0,02","0,01"
"Итальянцы","0,00","0,00","Персы","0,00","0,00","Эфиопы","-","0,00"
"Ительмены","0,00","0,00","Поляки","0,03","0,02","Якуты (саха)","0,01","0,01"
"Кабардинцы","0,00","0,00","Россияне","-","0,00","Другие","",""
"Казахи","0,38","0,34","Румыны","0,00","0,00","национальности","",""
"Калмыки","0,00","0,00","Русины","0,00","0,00","(не перечисленные","",""
"Камерунцы","-","0,00","Рутульцы","0,00","0,00","выше)","0,02","0,00"
"Камчадалы","0,00","0,00","Саамы","0,00","0,00","","",""
"Каракалпаки","0,00","0,00","Сербы","0,00","0,00","","",""
