"","4.9. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ГОРОДОВ АЛТАЙСКОГО КРАЯ","","","",""
"","","(на 1 января; человек)","","",""
"","2015","2016","2017","2018","2019"
"Алейск","28372","28528","28735","28972","29249"
"Барнаул","635530","635585","633301","632372","652393"
"Белокуриха","14877","15072","15264","15179","15160"
"Бийск","204164","203826","203108","201914","200629"
"Заринск","47274","47035","46830","46597","46254"
"Горняк","13109","13040","12972","12654","12437"
"Змеиногорск","10546","10569","10575","10533","10321"
"Камень-на-Оби","41897","41787","41315","40795","40647"
"Новоалтайск","72308","73134","73712","73439","73769"
"Рубцовск","146516","146386","145333","144128","142551"
"Славгород","30591","30370","30186","29916","29371"
"Яровое","18175","18085","18159","18092","18052"
