"","","","","4. НАСЕЛЕНИЕ","","","","","",""
"","","","","","","","","","Продолжение табл. 4.10",""
"","","","Число городов и","","","","Численность населения,","","",""
"","","поселков городского типа","","","","","","тыс. человек","",""
"","2015","2016","2017","2018","2019","2015","2016","2017","2018","2019"
"5-9,9","-","-","-","-","-","-","-","-","-","-"
"10-19,9","4","4","4","4","4","56,7","56,8","57,0","56,5","56,0"
"20-49,9","4","4","4","4","4","148,1","147,7","147,1","146,3","145,5"
"50-99,9","1","1","1","1","1","72,3","73,1","73,7","73,4","73,8"
"100-499,9","2","2","2","2","2","351,5","350,7","350,2","346,0","343,2"
"500-999,9","1","1","1","1","1","635,5","635,6","633,3","632,4","632,7"
"Поселки гоpодского","","","","","","","","","",""
"типа – всего","6","6","6","6","6","72,3","71,9","72,0","71,8","71,5"
"из них с числом  жи-","","","","","","","","","",""
"телей, тыс. человек:","","","","","","","","","",""
"до 3","-","-","-","-","-","-","-","-","-","-"
"3-4,9","1","1","1","1","1","3,3","3,2","3,1","3,0","3,0"
"5-9,9","1","1","1","1","1","6,5","6,4","6,3","6,3","6,3"
"10-19,9","3","3","4","4","4","42,4","42,3","62,6","62,5","62,2"
"20-49,9","1","1","-","-","-","20,1","20,0","-","-","-"
"50 и более","-","-","-","-","-","-","-","-","-","-"
