"","4.13. РАСПРЕДЕЛЕНИЕ РОДИВШИХСЯ ПО ПОЛУ","","","",""
"","","(человек)","","",""
"","2014","2015","2016","2017","2018"
"Всего","31414","30080","28734","25556","23408"
"мальчиков","16043","15395","14553","13179","12104"
"девочек","15371","14685","14181","12377","11304"
"В процентах ко всем родившимся","","","","",""
"мальчиков","51,1","51,2","50,6","51,6","51,7"
"девочек","48,9","48,8","49,4","48,4","48,3"
"На 1000 родившихся девочек родилось","","","","",""
"мальчиков","1044","1048","1026","1065","1071"
