"","4.17. ВОЗРАСТНЫЕ КОЭФФИЦИЕНТЫ СМЕРТНОСТИ","","","",""
"","(умершие на 1000 человек соответствующей возрастной группы)","","","",""
"","2014","2015","2016","2017","2018"
"Всего умерших мужчин","16,0","15,5","15,7","15,5","15,7"
"из них в возрасте, лет:","","","","",""
"0-4","2,4","2,2","1,9","1,8","1,5"
"5-9","0,3","0,3","0,2","0,3","0,3"
"10-14","0,4","0,3","0,4","0,4","0,3"
"15-19","0,9","1,1","1,1","0,7","0,7"
"20-24","2,0","2,1","1,8","1,5","1,2"
"25-29","3,9","4,0","3,6","3,0","2,8"
"30-34","6,4","5,6","5,3","5,4","4,8"
"35-39","8,6","8,3","8,3","8,1","7,8"
"40-44","8,8","9,1","8,3","8,8","9,8"
"45-49","11,5","10,5","11,1","10,6","11,4"
"50-54","15,6","14,2","15,5","14,0","14,8"
"55-59","22,1","21,6","20,5","19,6","20,8"
"60-64","33,7","30,8","32,4","30,7","31,1"
"65-69","45,4","42,9","45,1","43,3","44,0"
"70 и более","103,3","102,9","103,5","103,3","97,5"
"Всего умерших женщин","12,7","13,0","12,7","12,8","12,9"
"из них в возрасте, лет:","","","","",""
"0-4","2,0","1,4","1,4","1,4","1,3"
"5-9","0,3","0,3","0,1","0,2","0,2"
"10-14","0,2","0,2","0,3","0,2","0,2"
"15-19","0,4","0,5","0,3","0,3","0,4"
"20-24","0,6","0,7","0,7","0,4","0,6"
"25-29","1,3","1,1","1,2","1,1","1,2"
"30-34","1,8","2,2","1,9","2,2","1,7"
"35-39","2,4","2,7","2,7","2,9","2,7"
"40-44","3,5","3,3","2,8","3,3","3,6"
"45-49","4,0","3,9","3,8","3,5","4,0"
"50-54","5,4","5,5","5,5","4,9","4,9"
"55-59","7,6","8,1","7,8","7,6","7,7"
"60-64","12,1","11,7","11,8","10,7","10,6"
"65-69","17,6","17,4","17,8","17,2","17,0"
"70 и более","72,8","76,6","74,5","75,2","73,8"
