"","4.18. СМЕРТНОСТЬ ПО ОСНОВНЫМ КЛАССАМ ПРИЧИН СМЕРТИ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Человек","",""
"Умершие от всех причин","33971","33661","33356","33097","33264"
"в том числе:","","","","",""
"от инфекционных и паразитарных болезней","1006","1148","1230","1321","1282"
"от новообразований","5209","5429","5290","5220","5183"
"от болезней системы кровообращения","15098","13742","13920","13198","13318"
"от болезней органов дыхания","1881","1668","1495","1356","1349"
"от болезней органов  пищеварения","1323","1437","1461","1305","1380"
"от внешних причин смерти","3293","3123","2831","2633","2554"
"из них:","","","","",""
"от убийств","283","286","235","215","197"
"от самоубийств","799","762","687","657","587"
"от отравления алкоголем","172","191","207","164","166"
"от транспортных травм всех видов","375","312","266","296","279"
"","","","На 100 000 человек населения","",""
"Умершие от всех причин","1422,7","1413,9","1406,7","1403,7","1420,7"
"в том числе:","","","","",""
"от инфекционных и паразитарных болезней","42,1","48,2","51,9","56,0","54,8"
"от новообразований","218,2","228,0","223,1","221,4","221,5"
"от болезней системы кровообращения","632,3","577,2","587,0","559,8","568,8"
"от болезней органов дыхания","78,8","70,1","63,0","57,5","57,6"
"от болезней органов пищеварения","55,4","60,4","61,6","55,3","58,9"
"от внешних причин смерти","137,9","131,2","119,4","111,7","109,1"
"из них:","","","","",""
"от убийств","11,9","12,0","9,9","9,1","8,4"
"от самоубийств","33,5","32,0","29,0","27,9","25,1"
"от отравления алкоголем","7,2","8,0","8,7","7,0","7,1"
"от транспортных травм всех видов","15,7","13,1","11,2","12,6","11,9"
