"","","4.19. МЛАДЕНЧЕСКАЯ СМЕРТНОСТЬ","","","",""
"Годы","","Умеpшие в возpасте до 1 года,","","","Умеpшие в возpасте до 1 года",""
"","","человек","","","на 1000 pодившихся живыми",""
"","всего","городское","сельское","всего","городское","сельское"
"","","население","население","","население","население"
"2014","275","158","117","8,7","9,1","8,3"
"2015","222","128","94","7,3","7,3","7,4"
"2016","211","124","87","7,3","7,3","7,3"
"2017","185","106","79","7,1","7,1","7,1"
"2018","176","106","70","7,4","7,8","6,9"
