"","","","4.22. ОБЩИЕ ИТОГИ МИГРАЦИИ НАСЕЛЕНИЯ","","","","","","",""
"","","","","","(человек)","","","","",""
"Годы  Прибыв-","","","Из них","","","Выбыв-","","Из них","",""
"","шие –","","","","","шие –","","","",""
"","","в","в том числе","","из зару-","","в","в том числе","","в зару-"
"","всего","","","","","всего","","","",""
"","","пределах","","","бежных","","пределах","","","бежые"
"","","","внутри","из других","","","","внутри","в другие",""
"","","России","","","стран","","России","","","страны"
"","","","региона","регионов","","","","региона","регионы",""
"","","","","","Все население","","","","",""
"2014","84561","74526","52001","22525","10035","87830","82218","52001","30217","5612"
"2015","81479","71331","49105","22226","10148","85936","79617","49105","30512","6319"
"2016","75769","66011","43528","22483","9758","82241","73963","43528","30435","8278"
"2017","72885","62669","40699","21970","10216","80944","71968","40699","31269","8976"
"2018","79408","68128","45074","23054","11280","86819","76874","45074","31800","9945"
"","","","","","Городское население","","","","",""
"2014","43567","36250","24829","11421","7317","41173","36726","20669","16057","4447"
"2015","41641","34266","22580","11686","7375","42223","37200","20533","16667","5023"
"2016","38663","31438","19733","11705","7225","42232","35692","18652","17040","6540"
"2017","39819","31347","19466","11881","8472","42240","35217","17424","17793","7023"
"2018","45042","35847","22952","12895","9195","44869","36534","18561","17973","8335"
"","","","","","Сельское население","","","","",""
"2014","40994","38276","27172","11104","2718","46657","45492","31332","14160","1165"
"2015","39838","37065","26525","10540","2773","43713","42417","28572","13845","1296"
"2016","37106","34573","23795","10778","2533","40009","38271","24876","13395","1738"
"2017","33066","31322","21233","10089","1744","38704","36751","23275","13476","1953"
"2018","34366","32281","22122","10159","2085","41950","40340","26513","13827","1610"
