"","4.23. МЕЖДУНАРОДНАЯ МИГРАЦИЯ","","","",""
"","(человек)","","","",""
"","2014","2015","2016","2017","2018"
"Прибыло в Алтайский край – всего","10035","10148","9758","10216","11280"
"в том числе:","","","","",""
"из стран СНГ","9322","9506","9081","9466","10478"
"Белоруссия","54","53","33","30","19"
"Казахстан","3980","4302","3884","3849","4236"
"Молдавия","30","61","52","29","45"
"Украина","500","922","605","407","351"
"Азербайджан","254","245","325","377","379"
"Армения","552","522","491","570","594"
"Киргизия","580","443","305","319","336"
"Таджикистан","2042","1838","2342","2731","3196"
"Туркмения","48","49","46","16","12"
"Узбекистан","1282","1071","998","1138","1310"
"из стран дальнего зарубежья","713","642","677","750","802"
