"","","","4.25. ВОЗРАСТНО-ПОЛОВОЙ СОСТАВ МИГРАНТОВ","","","","","","","","",""
"","","","","","","(человек)","","","","","",""
"Пол,","","Число прибывших","","","","Число выбывших","","","","","Миграционный",""
"возраст","","из-за пределов края","","","","","за пределы края","","","","прирост",""
"","2015","2016","2017","2018","2015","2016","2017","2018","2015","2016","2017","2018"
"Мужчины и","","","","","","","","","","","",""
"женщины","32374","32241","32186","34334","36831","38713","40245","41745","-4457","-6472","-8059","-7411"
"в том чис-","","","","","","","","","","","",""
"ле в воз-","","","","","","","","","","","",""
"расте, лет:","","","","","","","","","","","",""
"0-5","1928","1897","1795","1963","2168","2288","2380","2422","-240","-391","-585","-459"
"6-13","2070","2216","2260","2545","2498","2795","3060","3192","-428","-579","-800","-647"
"14","203","204","234","215","263","286","278","310","-60","-82","-44","-95"
"15","234","202","231","263","281","249","295","314","-47","-47","-64","-51"
"16","343","326","331","298","378","428","417","451","-35","-102","-86","-153"
"17","431","416","374","467","590","623","650","558","-159","-207","-276","-91"
"18-19","1406","1510","1478","1597","2139","2109","2288","2320","-733","-599","-810","-723"
"20-24","4930","4888","4911","5203","5451","5379","5367","5207","-521","-491","-456","-4"
"25-29","4683","4567","4417","4304","5787","5867","5757","5623","-1104","-1300","-1340","-1319"
