"","","","","","","","","","","","Продолжение табл. 4.25",""
"Пол,","","Число прибывших","","","","Число выбывших","","","","","Миграционный",""
"возраст","","из-за пределов края","","","","","за пределы края","","","","прирост",""
"","2015","2016","2017","2018","2015","2016","2017","2018","2015","2016","2017","2018"
"Мужчины","","","","","","","","","","","",""
"по основ-","","","","","","","","","","","",""
"ным возрас-","","","","","","","","","","","",""
"тным груп-","","","","","","","","","","","",""
"пам:","","","","","","","","","","","",""
"0-15","2321","2314","2358","2668","2647","2931","3189","3222","-326","-617","-831","-554"
"16-59","13611","13674","13679","14550","15204","16001","16175","16861","-1593","-2327","-2496","-2311"
"60 лет","","","","","","","","","","","",""
"и более","1018","993","1086","1224","963","1034","1176","1356","55","-41","-90","-132"
"Женщины","15424","15260","15063","15892","18017","18747","19705","20306","-2593","-3487","-4642","-4414"
"в том чис-","","","","","","","","","","","",""
"ле в воз-","","","","","","","","","","","",""
"расте, лет:","","","","","","","","","","","",""
"0-5","918","915","868","900","1042","1069","1102","1139","-124","-154","-234","-239"
"6-13","996","1104","1068","1198","1253","1350","1469","1563","-257","-246","-401","-365"
"14","99","92","117","97","135","145","133","162","-36","-53","-16","-65"
"15","101","94","109","123","133","123","120","152","-32","-29","-11","-29"
"16","138","153","144","123","148","176","172","177","-10","-23","-28","-54"
"17","186","193","202","235","269","289","304","260","-83","-96","-102","-25"
"18-19","644","637","668","733","965","993","1144","1041","-321","-356","-476","-308"
"20-24","2294","2146","2105","2178","2529","2401","2471","2236","-235","-255","-366","-58"
"25-29","2170","2108","1972","1861","2854","2786","2757","2624","-684","-678","-785","-763"
"30-39","3157","3103","3136","3323","3638","3996","4290","4427","-481","-893","-1154","-1104"
"40-49","1604","1630","1624","1843","1782","1957","2094","2399","-178","-327","-470","-556"
"50-54","761","717","665","663","777","766","783","817","-16","-49","-118","-154"
"55-59","796","797","765","828","770","817","877","957","26","-20","-112","-129"
"60-64","542","524","566","627","546","597","614","770","-4","-73","-48","-143"
"65 лет","","","","","","","","","","","",""
"и более","1018","1047","1054","1160","1176","1282","1375","1582","-158","-235","-321","-422"
"Женщины","","","","","","","","","","","",""
"по основ-","","","","","","","","","","","",""
"ным возрас-","","","","","","","","","","","",""
"тным груп-","","","","","","","","","","","",""
"пам:","","","","","","","","","","","",""
"0-15","2114","2205","2162","2318","2563","2687","2824","3016","-449","-482","-662","-698"
"16-54","10954","10687","10516","10959","12962","13364","14015","13981","-2008","-2677","-3499","-3022"
"55  лет","","","","","","","","","","","",""
"и более","2356","2368","2385","2615","2492","2696","2866","3309","-136","-328","-481","-694"
