"","","5.5. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ ЗАНЯТЫХ в возрасте 15-72 лет","","","","",""
"","","","ПО ВОЗРАСТНЫМ ГРУППАМ1)","","","",""
"","","","","(в процентах к итогу)","","",""
"Годы","Занятые –","","","","В том числе в возрасте, лет","",""
"","всего","","","","","",""
"","","до 20","20-29","30-39","40-49","50-59","60-72"
"2014","100","0,6","21,1","27,6","23,1","23,8","3,8"
"2015","100","0,4","20,5","27,9","23,1","23,8","4,3"
"2016","100","0,7","19,1","28,2","23,7","23,6","4,7"
"2017","100","0,6","18,6","29,1","25,1","22,7","3,9"
"2018","100","0,6","18,7","28,8","24,9","22,0","5,0"
