"","5.8. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ БЕЗРАБОТНЫХ в возрасте 15-72 лет","","","","","",""
"","","","ПО УРОВНЮ ОБРАЗОВАНИЯ1)","","","",""
"","","","","(в процентах к итогу)","","",""
"Годы","Безработ-","","","В том числе имеют образование","","",""
"","ные –","","","","","",""
"","","высшее","среднее профессиональное","","среднее","основное","не имеют"
"","всего","","","","","",""
"","","","","","общее","общее","основного"
"","","","по программе","по программе","","",""
"","","","","","","","общего"
"","","","подготовки","подготовки","","",""
"","","","специалистов","квалифициро-","","",""
"","","","среднего","ванных рабочих","","",""
"","","","звена","(служащих)2","","",""
"2014","100","8,5","15,2","25,3","36,3","13,3","1,4"
"2015","100","16,4","21,3","24,4","26,4","11,0","0,5"
"2016","100","15,6","20,6","21,6","31,0","10,4","0,8"
"2017","100","14,1","22,1","19,3","29,5","12,4","2,6"
"2018","100","12,0","22,3","24,3","24,8","13,9","2,7"
