"","5.9. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ БЕЗРАБОТНЫХ в возрасте 15-72 лет","","","","",""
"","","","ПО ПРИЧИНАМ НЕЗАНЯТОСТИ1)","","",""
"","","","(в процентах к итогу)","","",""
"Годы","Безработ-","","","В том числе","",""
"","ные –","","","","",""
"","","ранее имели","из них оставили прежнее место работы в связи","","","ранее"
"","всего","","","","",""
"","","работу","","","","не имели"
"","","","с высвобождением  по","","с увольнением",""
"","","","","","","работы"
"","","","причине сокращения","","по собственному",""
"","","","штатов, ликвидации","","желанию",""
"","","","организации,","","",""
"","","","собственного дела","","",""
"2014","100","78,3","20,0","","23,4","21,7"
"2015","100","84,1","20,3","","30,1","15,9"
"2016","100","79,2","14,4","","24,5","20,8"
"2017","100","81,2","16,5","","27,4","18,8"
"2018","100","80,1","19,0","","26,6","19,9"
